taxa_id,Kingdom,Phylum,Class,Clade,Orders,Family,Genus,Species,common_name,RecordsWithDenominators,NeoplasiaWithDenominators,NeoplasiaPrevalence,-,MalignancyKnown,Malignant,MalignancyPrevalence,PropMalignant,Benign,BenignPrevalence,PropBenign,--,RecordsFromAllSources,NeoplasiaFromAllSources,Necropsies,#Sources,Maximum_Longevity_Years,Body_Mass_Grams
2726,Animalia,Chordata,Amphibia,Amphibia,Anura,Mantellidae,Mantella,Mantella_aurantiaca,Golden mantella,304,2,0.006578947,-,2,0,0,0,2,0.006578947,1,-,304,2,304,9,10.9,1.007
1649,Animalia,Chordata,Amphibia,Amphibia,Anura,Dendrobatidae,Dendrobates,Dendrobates_tinctorius,Dyeing poison dart frog,267,2,0.007490637,-,2,1,0.003745318,0.5,1,0.003745318,0.5,-,267,2,267,33,10,3.535
825,Animalia,Chordata,Amphibia,Amphibia,Anura,Bufonidae,Peltophryne,Peltophryne_lemur,Puerto rican crested toad,226,19,0.084070796,-,17,8,0.03539823,0.470588235,9,0.039823009,0.529411765,-,226,19,226,16,10.7,85.404
19342,Animalia,Tetrapoda,Amphibia,Amphibia,Anura,Alytidae,Alytes,Alytes_muletensis,Mallorcan midwife toad,216,0,0,-,0,0,0,NA,0,0,NA,-,216,0,216,1,NA,NA
314,Animalia,Chordata,Amphibia,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus_baxteri,Wyoming toad,200,5,0.025,-,3,2,0.01,0.666666667,1,0.005,0.333333333,-,200,5,200,4,8,30.901
2941,Animalia,Chordata,Amphibia,Amphibia,Anura,Bufonidae,Nectophrynoides,Nectophrynoides_asperginis,Kihansi spray toad,173,2,0.011560694,-,2,2,0.011560694,1,0,0,0,-,173,2,173,4,5,0.354
572,Animalia,Chordata,Amphibia,Amphibia,Anura,Bufonidae,Atelopus,Atelopus_zeteki,Panamanian golden frog,137,1,0.00729927,-,6,1,0.00729927,0.166666667,0,0,0.833333333,-,142,6,137,22,15,5.821
3324,Animalia,Chordata,Amphibia,Amphibia,Anura,Pipidae,Pipa,Pipa_pipa,Surinam toad,108,4,0.037037037,-,3,1,0.009259259,0.333333333,2,0.018518519,0.666666667,-,108,4,108,21,7.7,290.832
1435,Animalia,Chordata,Amphibia,Amphibia,Anura,Ceratobatrachidae,Cornufer,Cornufer_guentheri,Solomon island leaf frog,89,5,0.056179775,-,4,3,0.033707865,0.75,1,0.011235955,0.25,-,89,5,89,11,NA,NA
3639,Animalia,Chordata,Amphibia,Amphibia,Anura,Ranidae,Rana,Rana_sierrae,Sierra nevada yellow-legged frog,76,1,0.013157895,-,1,0,0,0,1,0.013157895,1,-,76,1,76,5,NA,NA
15239,Animalia,Chordata,Amphibia,Amphibia,Anura,Ranidae,Rana,Rana_temporaria,Common frog,73,0,0,-,0,0,0,NA,0,0,NA,-,73,0,73,1,27,60.756
111,Animalia,Chordata,Amphibia,Amphibia,Anura,Hylidae,Agalychnis,Agalychnis_callidryas,Green tree frog,73,2,0.02739726,-,2,1,0.01369863,0.5,1,0.01369863,0.5,-,73,2,73,20,5,25.343
223,Animalia,Chordata,Amphibia,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma_mexicanum,Axolotl,73,5,0.068493151,-,5,5,0.068493151,1,0,0,0,-,73,5,73,18,17,155.707
3299,Animalia,Chordata,Amphibia,Amphibia,Anura,Hylidae,Phyllomedusa,Phyllomedusa_bicolor,Giant waxy tree frog,70,0,0,-,0,0,0,NA,0,0,NA,-,70,0,70,17,10.3,104.955
