Orders,Family,Genus,Species,CommonName,Necropsies,NeoplasiaPrevalence,MalignancyPrevalence,brightness_dimorphism,hue_dimorphism,M_dimorphism,Tail_dimorphism,adult_mass,IncubationLength,ClutchSize,max_longevity,Note
Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus_leucocephalus,bald eagle,20,0.05,0,,,0.969851646,0.991632598,3175,1.150558843,,576,
Accipitriformes,Accipitridae,Milvus,Milvus_milvus,Red Kite,36,0,0,,,0.972380334,0.991816978,1080,,,456,
Anseriformes,Anatidae,Netta,Netta_rufina,red crested pochard,20,0.15,0.05,,,1.003842239,1.007492195,1118,,,105.6,
Anseriformes,Anatidae,Anas,Anas_acuta,northern pintail,23,0.043478261,0.043478261,0.305160018,-0.147244391,1.024921031,1.116914127,721,0.723208416,7.5,329,
Anseriformes,Anatidae,Branta,Branta_ruficollis,red-breasted goose,23,0,0,,,1.032670224,1.014351451,1242,,5.5,,
Anseriformes,Anatidae,Nettapus,Nettapus_auritus,african pygmy goose,23,0.043478261,0.043478261,,,1.016510125,,272.5,,,,
Anseriformes,Anatidae,Cygnus,Cygnus_melancoryphus,black-necked swan,29,0,0,0.971530527,2.047547906,,,4275,,6,360,
Anseriformes,Anatidae,Lophodytes,Lophodytes_cucullatus,hooded merganser ,31,0,0,,,1.03664009,,634,1.019066404,11,188,
Anseriformes,Anatidae,Aix,Aix_galericulata,mandarin duck,32,0.03125,0.03125,,,1.032735639,1.003691694,570,0.953320184,10.5,124.8,
Anseriformes,Anatidae,Aix,Aix_sponsa,wood duck,33,0.151515152,0.090909091,2.122766372,2.450894412,1.002047032,,452.8,1.019066404,12,270,
Anseriformes,Anatidae,Anas,Anas_platyrhynchos,mallard duck,33,0.212121212,0.121212121,-3.061052205,-1.038262564,1.011912117,1.003441137,1048.1,0.854700855,10,349.2,Longevity from AnAge
Anseriformes,Anatidae,Oxyura,Oxyura_jamaicensis,ruddy duck,34,0.058823529,0.029411765,,,1.026963957,1.002074433,542,0.756081525,,240,Longevity from AnAge
Anseriformes,Anatidae,Radjah,Tadorna_radjah,radjah shelduck,41,0,0,,,1.015933211,1.012403724,865,,,,
Anseriformes,Anatidae,Sibirionetta,Anas_formosa,Baikal teal,43,0,0,,,1.002279073,,435.5,,7,,
Anseriformes,Anatidae,Asarcornis,Asarcornis_scutulata,white-winged duck,55,0.036363636,0.036363636,,,,,3000,,10,,
Anseriformes,Anatidae,Dendrocygna,Dendrocygna_viduata,white-faced whistling duck,84,0.023809524,0.011904762,,,1.005482774,0.996001944,610,0.887573964,,144,
Anseriformes,Anatidae,Dendrocygna,Dendrocygna_autumnalis,black-bellied whistling duck,130,0.084615385,0.061538462,,,0.993575371,,828,0.887573964,14,98,
Bucerotiformes,Bucerotidae,Anthracoceros,Anthracoceros_malayanus,black hornbill,22,0,0,,,,,1050,,2.4,,
Caprimulgiformes,Podargidae,Podargus,Podargus_strigoides,tawny frogmouth,27,0.074074074,0.074074074,0.612275237,1.269553476,1.005793532,1.009282846,349,,1.89,214.8,Longevity from AnAge
Charadriiformes,Laridae,Larosterna,Larosterna_inca,inca tern,34,0.029411765,0.029411765,,,,,219,0.920447074,,312,
Ciconiiformes,Scopidae,Scopus,Scopus_umbretta,hamerkop,20,0.05,0,,,,,423,,4.4,,
Ciconiiformes,Ciconiidae,Ciconia,Ciconia_abdimii,Abdim's stork,41,0,0,,,,,1398,,2.25,259.2,
Coliiformes,Coliidae,Colius,Colius_striatus,speckled mousebird,37,0.081081081,0,0.872009138,1.343826903,0.993178197,1.0038508,51,0.460223537,3.3,138,
Columbiformes,Columbidae,Gallicolumba,Gallicolumba_luzonica,Luzon bleeding-heart,20,0,0,,,,,196,,,,
Columbiformes,Columbidae,Ptilinopus,Ptilinopus_jambu,jambu fruit dove,20,0,0,,,,,135,,,,
Columbiformes,Columbidae,Geopelia,Geopelia_cuneata,diamond dove,25,0.04,0.04,,,1.019482425,1.012593069,31.55,,,,
Columbiformes,Columbidae,Ptilinopus,Ptilinopus_melanospilus,black-naped fruit dove,27,0,0,,,,,92,,,,
Columbiformes,Columbidae,Goura,Goura_victoria,Victoria crowned pigeon,28,0,0,,,,,2192,,,,
Columbiformes,Columbidae,Zenaida,Zenaida_graysoni,Socorro dove,35,0.028571429,0.028571429,,,,,191,,,,
Columbiformes,Columbidae,Ducula,Ducula_forsteni,white-bellied imperial pigeon,46,0.108695652,0.043478261,,,,,510,,,,
Columbiformes,Columbidae,Chalcophaps,Chalcophaps_indica,common emerald dove,48,0,0,,,1.000896066,1.006277372,136.9833334,,,144,Longevity from AnAge
Columbiformes,Columbidae,Ptilinopus,Ptilinopus_superbus,superb fruit dove,48,0,0,-9.136780375,1.583862191,1.008969489,1.012358373,117.75,,,,
Columbiformes,Columbidae,Columba,Columba_livia,common pigeon,55,0.018181818,0,0.15688532,0.954393642,1.017241242,1.007050058,358.7,0.591715976,,420,
Coraciiformes,Momotidae,Momotus,Momotus_momota,amazonian motmot,24,0.041666667,0.041666667,,,,,133,0.690335306,3.5,243.6,
Coraciiformes,Coraciidae,Coracias,Coracias_cyanogaster,blue-bellied roller,29,0.034482759,0,,,1,1.015777416,143,,,,
Cuculiformes,Crotophagidae,Guira,Guira_guira,guira cuckoo,21,0,0,0.884415837,1.185283561,1.013752236,,138.5,,8.25,,
Falconiformes,Falconidae,Polihierax,Polihierax_semitorquatus,pygmy falcon,24,0.041666667,0.041666667,,,1.007677164,,61.025,,,240,
Galliformes,Phasianidae,Tympanuchus,Tympanuchus_cupido,pinnated grouse,20,0.05,0,83.52182952,0.755753439,1.023967488,1.013747768,908,0.756081525,13,162,
Galliformes,Odontophoridae,Callipepla,Callipepla_gambelii,gambel's quail,25,0.04,0,-1.65630803,-1.259246139,1.004269604,,166,0.723208416,11,88.8,
Galliformes,Odontophoridae,Colinus,Colinus_virginianus,northern bobwhite,30,0.1,0.1,,,1.003406122,0.986505617,194,0.756081525,15,76.8,
Galliformes,Phasianidae,Pavo,Pavo_cristatus,Indian peafowl,31,0.032258065,0,,,,,4200,0.953320184,,278.4,
Galliformes,Numididae,Acryllium,Acryllium_vulturinum,vulturine guineafowl,39,0.128205128,0.102564103,,,1.000678372,1.008114191,1333.875,,10,,
Galliformes,Numididae,Numida,Numida_meleagris,lebanonfowl,54,0.166666667,0.111111111,1.033114242,1.237797443,1.001625311,1.002277356,1299,0.887573964,8.75,,
Galliformes,Phasianidae,Meleagris,Meleagris_gallopavo,wild turkey,71,0.14084507,0.112676056,-1.329431679,14.49060372,1.067221698,1.028353239,6050,0.920447074,11,156,
