Species,Order,ICM,CMR,NMalignant_CMR,NMalignant_ICM,NNecropsies,Mass,MaxLongevity
Acinonyx_jubatus,Carnivora,0.041554932,0.035555556,8,9,225,42.55007214,246
Addax_nasomaculatus,Artiodactyla,0.061624106,0.035714286,3,5,84,110.6330566,336
Aepyceros_melampus,Artiodactyla,0.141181814,0.057324841,9,22,157,48.14976489,307.2
Ailurus_fulgens,Carnivora,0.0733606,0.070707071,7,7,99,5.97539102,228
Alces_alces,Artiodactyla,0,0,0,0,33,344.9088909,NA
Alouatta_caraya,Primates,NA,0.2,5,NA,25,8.873469263,388.8
Ammotragus_lervia,Artiodactyla,0.085277433,0.040322581,5,11,124,67.43510168,260.4
Antidorcas_marsupialis,Artiodactyla,0.005448208,0.006024096,1,1,166,29.85093572,237.6
Antilocapra_americana,Artiodactyla,0.03792695,0.03125,1,1,32,43.41214742,204
Antilope_cervicapra,Artiodactyla,0,0,0,0,196,31.03672848,286.8
Aonyx_cinerea,Carnivora,0.089950586,0.06097561,10,15,164,3.30467994,NA
Arctictis_binturong,Carnivora,0.18701814,0.148148148,4,5,27,17.20582616,324
Ateles_fusciceps,Primates,NA,0.095238095,2,NA,21,9.194621312,552
Ateles_geoffroyi,Primates,0.190286811,0.142857143,4,5,28,7.913493612,565.2
Axis_axis,Artiodactyla,0.070912549,0.081081081,6,5,74,59.1386303,249.6
Axis_porcinus,Artiodactyla,0.026661639,0.034482759,1,1,29,36.34593323,274.8
Bettongia_penicillata,Diprotodontia,0,0,0,0,21,1.063813574,225.6
Bison_bison,Artiodactyla,0.052497735,0.054794521,4,4,73,632.0540589,402
Bison_bonasus,Artiodactyla,0.044552122,0.040816327,2,2,49,489.7035897,316.8
Boselaphus_tragocamelus,Artiodactyla,0.049465837,0.05,2,2,40,203.6763678,260.4
Budorcas_taxicolor,Artiodactyla,0.006254346,0.035714286,1,0,28,288.5328972,262.8
Callimico_goeldii,Primates,0.182495731,0.06741573,6,16,89,0.563427119,266.4
Callithrix_geoffroyi,Primates,0.013915598,0.019607843,2,1,102,0.462954593,211.2
Callithrix_jacchus,Primates,0.013273727,0.024590164,3,2,122,0.381712797,273.6
Callosciurus_prevostii,Rodentia,0.084352151,0.066666667,3,4,45,0.484859926,253.2
Canis_rufus,Carnivora,0.327317479,0.258064516,8,10,31,25.43551086,NA
Capra_caucasica,Artiodactyla,0,0,0,0,58,65.52665135,231.6
Capra_falconeri,Artiodactyla,0.115653846,0.01369863,1,8,73,47.78586866,229.2
Capra_ibex,Artiodactyla,0,0,0,0,42,55.6607194,252
Capra_nubiana,Artiodactyla,0.02914566,0.041666667,2,1,48,40.90068104,268.8
Caracal_caracal,Carnivora,0.134464693,0.095238095,2,3,21,12.14143873,243.6
Carollia_perspicillata,Chiroptera,0,0,0,0,33,0.017546338,204
Cebuella_pygmaea,Primates,0.070562114,0.024390244,4,12,164,0.146233553,223.2
Cercopithecus_neglectus,Primates,0.077944936,0.125,3,2,24,8.628963734,369.6
Cervus_canadensis,Artiodactyla,0,0,0,0,39,322.7069582,378
Cervus_elaphus,Artiodactyla,0,0,0,0,61,181.8522698,378
Cervus_nippon,Artiodactyla,0.012411962,0.016393443,2,2,122,68.94809047,315.6
Choloepus_didactylus,Pilosa,NA,0.045454545,1,NA,22,8.7728911,441.6
Chrysocyon_brachyurus,Carnivora,0.132412184,0.128571429,9,9,70,25.90193245,201.6
Colobus_guereza,Primates,0.013891198,0.037974684,3,1,79,11.8848313,420
Connochaetes_gnou,Artiodactyla,0,0,0,0,30,131.52035,261.6
Connochaetes_taurinus,Artiodactyla,0.007856414,0.009345794,1,1,107,194.8615759,291.6
Cricetus_cricetus,Rodentia,0.148830814,0.208333333,5,4,24,0.268050167,43.2
Ctenodactylus_gundi,Rodentia,0.013671069,0.03125,1,0,32,0.280861277,69.6
Cuon_alpinus,Carnivora,0.17707351,0.142857143,7,9,49,19.91538377,193.2
Cynictis_penicillata,Carnivora,0.033458286,0.096774194,3,1,31,1.078372152,182.4
Cynomys_ludovicianus,Rodentia,NA,0.161290323,5,NA,31,1.010691929,180
Dama_dama,Artiodactyla,0.013101834,0.020689655,3,2,145,54.80931371,324
Dama_mesopotamica,Artiodactyla,0.151589946,0.1,3,5,30,73.67914286,324
Damaliscus_pygargus,Artiodactyla,0,0,0,0,68,71.25643461,276
Dasyprocta_azarae,Rodentia,0,0,0,0,24,3.150686834,141.6
Dasyprocta_leporina,Rodentia,0.060117747,0.029411765,1,2,34,3.341856079,213.6
Dasyuroides_byrnei,Dasyuromorphia,0.521034734,0.571428571,16,15,28,0.128843435,96
Desmodus_rotundus,Chiroptera,0.154788833,0.076923077,3,6,39,0.031031643,350.4
Dolichotis_patagonum,Rodentia,0,0,0,0,213,7.62980942,172.8
Echinops_telfairi,Afrosoricida,0.024663394,0.057142857,2,1,35,0.148979531,228
Eidolon_helvum,Chiroptera,NA,0.142857143,5,NA,35,0.298457536,261.6
Elaphurus_davidianus,Artiodactyla,0.013224046,0.016393443,1,1,61,192.4057369,330
Equus_grevyi,Perissodactyla,0.027225792,0.038461538,2,1,52,389.4777841,372
Equus_hemionus,Perissodactyla,0.015256016,0.03030303,1,1,33,222.7059616,379.2
Equus_quagga,Perissodactyla,0.004859354,0.009708738,1,1,103,294.2260821,456
Equus_zebra,Perissodactyla,0,0,0,0,24,323.9784199,398.4
Erythrocebus_patas,Primates,0.022632588,0.058823529,2,1,34,10.48620209,360
Eudorcas_thomsonii,Artiodactyla,0.099225167,0.038961039,3,8,77,20.47313621,240
Eulemur_macaco,Primates,0.150336833,0.12,3,4,25,2.46530982,450
Felis_margarita,Carnivora,0.17686974,0.121212121,4,6,33,2.793318846,166.8
Felis_silvestris,Carnivora,0.045313037,0.025,1,2,40,3.638578637,228
Galago_senegalensis,Primates,0,0,0,0,25,0.208778467,205.2
Gazella_cuvieri,Artiodactyla,0,0,0,0,20,24.24767841,214.8
Gazella_dorcas,Artiodactyla,0.111730555,0.076923077,3,4,39,13.03147295,284.4
Gazella_leptoceros,Artiodactyla,0,0,0,0,26,14.91686671,175.2
Gazella_marica,Artiodactyla,NA,0,0,NA,33,16.23431187,195.6
Gazella_subgutturosa,Artiodactyla,0,0,0,0,49,19.36579745,195.6
Giraffa_camelopardalis,Artiodactyla,0.010221154,0.012269939,2,2,163,911.5972618,474
Gorilla_gorilla,Primates,NA,0.045454545,1,NA,22,136.9603416,721.2
Helogale_parvula,Carnivora,0,0,0,0,35,0.428405745,240
Heterocephalus_glaber,Rodentia,NA,0.023255814,1,NA,43,0.04787511,372
Hippopotamus_amphibius,Artiodactyla,0,0,0,0,22,1499.454509,734.4
Hippotragus_equinus,Artiodactyla,0,0,0,0,35,243.5696122,310.8
Hippotragus_niger,Artiodactyla,0.008779767,0.014084507,1,1,71,200.550514,266.4
Hydrochoerus_hydrochaeris,Rodentia,0.082029929,0.087837838,13,12,148,49.47285543,181.2
Hylobates_lar,Primates,NA,0.125,3,NA,24,7.502225002,672
Hystrix_africaeaustralis,Rodentia,NA,0.025,1,NA,40,15.84786943,277.2
Hystrix_indica,Rodentia,0.067388134,0.097560976,4,3,41,17.6136748,325.2
Jaculus_jaculus,Rodentia,0.060851499,0.068965517,2,2,29,0.062699369,87.6
Kobus_ellipsiprymnus,Artiodactyla,0.006972238,0.014285714,1,0,70,162.897057,360
Kobus_leche,Artiodactyla,0.013689478,0.008064516,1,2,124,83.31797146,324
Kobus_megaceros,Artiodactyla,0.186632938,0.123076923,8,12,65,76.26516359,253.2
Lagurus_lagurus,Rodentia,0.049309266,0.05,1,1,20,0.021532353,45.6
Lemur_catta,Primates,0.132557755,0.067729084,17,33,251,2.865012327,447.6
Leontopithecus_chrysomelas,Primates,0.029339389,0.070175439,4,2,57,0.751352752,255.6
Leontopithecus_rosalia,Primates,0,0,0,0,78,0.679324055,379.2
