Data,TumorType,RiskFactor,Simulation,Estimate,U95CI,L95CI
Boddy et al.,Malignant,Longevity,1,-2.807607918,-6.659076955,0.825014452
Boddy et al.,Malignant,Longevity,2,-2.175126956,-6.030520244,1.549550737
Boddy et al.,Malignant,Longevity,3,-2.293390247,-5.706093363,0.945721107
Boddy et al.,Malignant,Longevity,4,-2.563830545,-7.091896029,1.651549183
Boddy et al.,Malignant,Longevity,5,-1.823258778,-5.270707723,1.610925999
Boddy et al.,Malignant,Longevity,6,-2.486850087,-6.240885158,0.823005293
Boddy et al.,Malignant,Longevity,7,-2.769502596,-7.035530396,0.992024266
Boddy et al.,Malignant,Longevity,8,-2.469729379,-6.602140759,1.633688697
Boddy et al.,Malignant,Longevity,9,-2.406305753,-6.089385719,1.12926413
Boddy et al.,Malignant,Longevity,10,-1.909336107,-5.54845931,1.493552776
Boddy et al.,Malignant,Longevity,11,-2.125252399,-5.552377348,1.475017149
Boddy et al.,Malignant,Longevity,12,-2.0689858,-6.053451154,1.636109398
Boddy et al.,Malignant,Longevity,13,-2.648700588,-7.20474565,1.641453383
Boddy et al.,Malignant,Longevity,14,-2.381561404,-6.196631732,1.230263396
Boddy et al.,Malignant,Longevity,15,-2.033016262,-6.115271107,1.916776568
Boddy et al.,Malignant,Longevity,16,-2.53181869,-6.877356097,1.585212504
Boddy et al.,Malignant,Longevity,17,-2.180699711,-6.058485943,1.578996283
Boddy et al.,Malignant,Longevity,18,-1.915435858,-5.04918294,1.167102962
Boddy et al.,Malignant,Longevity,19,-1.614656326,-5.162797889,1.666306357
Boddy et al.,Malignant,Longevity,20,-2.153329555,-6.107737289,1.918074665
Boddy et al.,Malignant,Longevity,21,-2.250707144,-5.471149677,1.015389244
Boddy et al.,Malignant,Longevity,22,-2.241126779,-5.868896987,1.449105063
Boddy et al.,Malignant,Longevity,23,-1.817748682,-5.420478444,1.819446498
Boddy et al.,Malignant,Longevity,24,-1.008545704,-5.064797237,2.930046688
Boddy et al.,Malignant,Longevity,25,-1.174338305,-4.769913727,2.087695943
Boddy et al.,Malignant,Longevity,26,-1.923956731,-6.002100917,2.164750157
Boddy et al.,Malignant,Longevity,27,-1.920840505,-5.366823384,1.319635334
Boddy et al.,Malignant,Longevity,28,-3.058430958,-6.013867861,0.014105351
Boddy et al.,Malignant,Longevity,29,-1.422294491,-5.026063282,2.183872792
Boddy et al.,Malignant,Longevity,30,-2.833306132,-6.472393023,1.067371051
Boddy et al.,Malignant,Longevity,31,-1.842506122,-5.585405914,1.952909654
Boddy et al.,Malignant,Longevity,32,-2.326876502,-6.245604291,1.27238897
Boddy et al.,Malignant,Longevity,33,-2.41147543,-6.137006204,1.119852736
Boddy et al.,Malignant,Longevity,34,-2.235616238,-5.404135964,1.050533022
Boddy et al.,Malignant,Longevity,35,-1.84546061,-5.66564195,1.868351799
Boddy et al.,Malignant,Longevity,36,-1.494788475,-5.618877834,2.835120124
Boddy et al.,Malignant,Longevity,37,-2.166794815,-5.568578252,1.240394794
Boddy et al.,Malignant,Longevity,38,-1.40393912,-5.353653634,2.594701232
Boddy et al.,Malignant,Longevity,39,-2.262547029,-5.651730645,0.968522567
Boddy et al.,Malignant,Longevity,40,-0.791471794,-4.399754471,3.17189491
Boddy et al.,Malignant,Longevity,41,-2.357709753,-5.924881803,1.303664149
Boddy et al.,Malignant,Longevity,42,-1.993916286,-5.721518496,1.81133816
Boddy et al.,Malignant,Longevity,43,-2.777647003,-6.64753571,0.767720593
Boddy et al.,Malignant,Longevity,44,-2.85450255,-6.605338168,0.93159236
Boddy et al.,Malignant,Longevity,45,-2.422405466,-6.335677731,1.182427086
Boddy et al.,Malignant,Longevity,46,-1.807419827,-5.432260733,1.940104767
Boddy et al.,Malignant,Longevity,47,-2.465881032,-6.349371904,1.189302506
Boddy et al.,Malignant,Longevity,48,-1.71319306,-5.736557504,2.578222631
Boddy et al.,Malignant,Longevity,49,-1.956906563,-5.743417545,1.532904369
Boddy et al.,Malignant,Longevity,50,-2.049568854,-5.660453364,1.398712297
