Data,TumorType,RiskFactor,Simulation,Estimate,U95CI,L95CI
Boddy et al.,Malignant,Mass,1,0.089590643,-0.630013696,0.803463159
Boddy et al.,Malignant,Mass,2,-0.068785426,-0.825653664,0.728473541
Boddy et al.,Malignant,Mass,3,0.100589251,-0.672016171,0.977156679
Boddy et al.,Malignant,Mass,4,0.072032921,-0.827760228,0.934549773
Boddy et al.,Malignant,Mass,5,-0.046711804,-0.834483198,0.786979469
Boddy et al.,Malignant,Mass,6,-0.156286028,-0.797204167,0.544438906
Boddy et al.,Malignant,Mass,7,0.203250791,-0.696371987,1.146259314
Boddy et al.,Malignant,Mass,8,0.125833505,-0.614595398,0.93505773
Boddy et al.,Malignant,Mass,9,-0.010303095,-0.779205636,0.754232926
Boddy et al.,Malignant,Mass,10,0.187022724,-0.714418777,1.188760887
Boddy et al.,Malignant,Mass,11,-0.079554904,-0.887733568,0.745392824
Boddy et al.,Malignant,Mass,12,-0.016740409,-0.954916977,1.022425158
Boddy et al.,Malignant,Mass,13,-0.020908007,-0.816252405,0.858979685
Boddy et al.,Malignant,Mass,14,0.032770123,-0.616580862,0.744921952
Boddy et al.,Malignant,Mass,15,-0.074992168,-0.859971568,0.691238589
Boddy et al.,Malignant,Mass,16,-0.142808757,-0.927046921,0.615562464
Boddy et al.,Malignant,Mass,17,0.150835211,-0.679235751,1.063488315
Boddy et al.,Malignant,Mass,18,0.105608718,-0.789061368,1.086631872
Boddy et al.,Malignant,Mass,19,-0.140582141,-0.924368334,0.707593528
Boddy et al.,Malignant,Mass,20,-0.007282159,-0.75589116,0.80247765
Boddy et al.,Malignant,Mass,21,-0.02543047,-0.733667656,0.682436304
Boddy et al.,Malignant,Mass,22,-0.006155128,-0.6233128,0.609962689
Boddy et al.,Malignant,Mass,23,0.268611855,-0.547112223,1.079266012
Boddy et al.,Malignant,Mass,24,0.17737748,-0.693716888,1.031431081
Boddy et al.,Malignant,Mass,25,-0.013090841,-0.810164517,0.811631761
Boddy et al.,Malignant,Mass,26,-0.041405253,-0.863622574,0.86521483
Boddy et al.,Malignant,Mass,27,0.181077371,-0.677883158,1.047127524
Boddy et al.,Malignant,Mass,28,-0.022300461,-0.913028758,0.975233241
Boddy et al.,Malignant,Mass,29,0.070638137,-0.608946459,0.716616729
Boddy et al.,Malignant,Mass,30,0.135060015,-0.588155222,0.913096671
Boddy et al.,Malignant,Mass,31,-0.03736934,-0.938415889,0.969407129
Boddy et al.,Malignant,Mass,32,-0.126809588,-0.952380763,0.704363297
Boddy et al.,Malignant,Mass,33,-0.044167036,-0.848394381,0.761290795
Boddy et al.,Malignant,Mass,34,0.134504881,-0.740190931,1.077695186
Boddy et al.,Malignant,Mass,35,-0.039502153,-0.838910047,0.74999674
Boddy et al.,Malignant,Mass,36,0.188646597,-0.620390212,1.111703633
Boddy et al.,Malignant,Mass,37,-0.215340844,-0.976145255,0.576660487
Boddy et al.,Malignant,Mass,38,0.067495807,-0.692866507,0.861730819
Boddy et al.,Malignant,Mass,39,0.00044775,-0.782438032,0.738295018
Boddy et al.,Malignant,Mass,40,0.050717836,-0.649495875,0.76308027
Boddy et al.,Malignant,Mass,41,-0.00797819,-0.87561744,0.910587609
Boddy et al.,Malignant,Mass,42,0.156965555,-0.726630628,1.081952231
Boddy et al.,Malignant,Mass,43,-0.085528702,-0.875937704,0.705497141
Boddy et al.,Malignant,Mass,44,0.169677396,-0.746042958,1.078793231
Boddy et al.,Malignant,Mass,45,0.095059835,-0.630955797,0.887697316
Boddy et al.,Malignant,Mass,46,-0.122271982,-0.854916121,0.68232215
Boddy et al.,Malignant,Mass,47,-0.093863956,-0.874706901,0.616642495
Boddy et al.,Malignant,Mass,48,0.196013672,-0.650288848,1.055307046
Boddy et al.,Malignant,Mass,49,-0.110364758,-0.845587485,0.678619538
Boddy et al.,Malignant,Mass,50,0.095171361,-0.619415621,0.894038692
