Data,TumorType,RiskFactor,Simulation,Estimate,U95CI,L95CI
Boddy et al.,Neoplasia,Longevity,1,-1.316978181,-5.305887966,2.579997943
Boddy et al.,Neoplasia,Longevity,2,-1.188446993,-4.711730128,2.338881514
Boddy et al.,Neoplasia,Longevity,3,-1.209690859,-5.225902051,3.108209982
Boddy et al.,Neoplasia,Longevity,4,-2.358096301,-6.147753624,1.342315289
Boddy et al.,Neoplasia,Longevity,5,-0.410783862,-4.592484717,3.791478232
Boddy et al.,Neoplasia,Longevity,6,-0.870900892,-4.925507294,2.857547489
Boddy et al.,Neoplasia,Longevity,7,-0.787521982,-4.679023843,3.300316097
Boddy et al.,Neoplasia,Longevity,8,-1.51455187,-5.498278725,2.336382613
Boddy et al.,Neoplasia,Longevity,9,-1.379643011,-4.918775309,2.103810004
Boddy et al.,Neoplasia,Longevity,10,-1.229342066,-5.130006144,2.558886469
Boddy et al.,Neoplasia,Longevity,11,-1.842411442,-5.9465188,2.366465994
Boddy et al.,Neoplasia,Longevity,12,-0.883422065,-4.526555548,3.041769413
Boddy et al.,Neoplasia,Longevity,13,-1.698197928,-5.607957035,2.029187588
Boddy et al.,Neoplasia,Longevity,14,-1.761311146,-5.005996979,1.725728982
Boddy et al.,Neoplasia,Longevity,15,-1.330545363,-5.834664085,3.062019881
Boddy et al.,Neoplasia,Longevity,16,-0.557653443,-4.531069664,3.651755627
Boddy et al.,Neoplasia,Longevity,17,-0.799940152,-4.788991831,3.118115365
Boddy et al.,Neoplasia,Longevity,18,-1.244091904,-4.710085686,2.360602558
Boddy et al.,Neoplasia,Longevity,19,-2.04700027,-5.627626801,1.839184909
Boddy et al.,Neoplasia,Longevity,20,-0.957159685,-4.348832205,2.743276399
Boddy et al.,Neoplasia,Longevity,21,-0.725297204,-4.519735661,2.954532162
Boddy et al.,Neoplasia,Longevity,22,-0.672331414,-4.665694478,3.369270072
Boddy et al.,Neoplasia,Longevity,23,-0.855726929,-4.222942847,2.59745638
Boddy et al.,Neoplasia,Longevity,24,-1.77246599,-5.507618934,2.072709571
Boddy et al.,Neoplasia,Longevity,25,-1.785310615,-5.232270203,1.641145615
Boddy et al.,Neoplasia,Longevity,26,-1.484916005,-5.554901282,2.591334233
Boddy et al.,Neoplasia,Longevity,27,-1.035500339,-4.887386177,2.580731756
Boddy et al.,Neoplasia,Longevity,28,-1.431865241,-5.522908142,2.631228414
Boddy et al.,Neoplasia,Longevity,29,-0.897745292,-4.61038218,3.02310814
Boddy et al.,Neoplasia,Longevity,30,-1.524103567,-5.806108018,2.231387373
Boddy et al.,Neoplasia,Longevity,31,-1.636227761,-5.086477815,1.793123597
Boddy et al.,Neoplasia,Longevity,32,-1.293076938,-6.123594221,3.321640751
Boddy et al.,Neoplasia,Longevity,33,-1.725047824,-5.449905273,1.906011847
Boddy et al.,Neoplasia,Longevity,34,-1.343379666,-5.094455073,2.304996344
Boddy et al.,Neoplasia,Longevity,35,-1.204346675,-4.961647561,2.898738988
Boddy et al.,Neoplasia,Longevity,36,-1.446119403,-5.453042995,2.621580912
Boddy et al.,Neoplasia,Longevity,37,-1.052534972,-4.643927431,2.700797919
Boddy et al.,Neoplasia,Longevity,38,-0.921565899,-4.836491443,2.849244925
Boddy et al.,Neoplasia,Longevity,39,-0.69124419,-4.549910397,3.41277095
Boddy et al.,Neoplasia,Longevity,40,-1.464202279,-5.66340745,2.374447552
Boddy et al.,Neoplasia,Longevity,41,-1.308089784,-5.734389988,2.76146472
Boddy et al.,Neoplasia,Longevity,42,-1.016131001,-5.046844687,3.049350474
Boddy et al.,Neoplasia,Longevity,43,-1.303951592,-5.313245121,2.524821053
Boddy et al.,Neoplasia,Longevity,44,-1.273767391,-4.647997623,1.936515928
Boddy et al.,Neoplasia,Longevity,45,-1.29368463,-5.204155373,3.037314595
Boddy et al.,Neoplasia,Longevity,46,-1.086546965,-4.862431575,3.028839682
Boddy et al.,Neoplasia,Longevity,47,-0.307125341,-4.057204379,3.364862244
Boddy et al.,Neoplasia,Longevity,48,-0.977835797,-5.107743164,3.283393039
Boddy et al.,Neoplasia,Longevity,49,-1.293010154,-4.200289014,1.941089752
Boddy et al.,Neoplasia,Longevity,50,-1.10389701,-4.691224335,2.538815923
