"Data","TumorType","RiskFactor","Simulation","Estimate","U95CI","L95CI"
"Boddy et al.","Neoplasia","Mass",1,0.294435414958314,-0.510561990647393,1.11231766986203
"Boddy et al.","Neoplasia","Mass",2,0.15820841589247,-0.636926219045618,1.02109883627711
"Boddy et al.","Neoplasia","Mass",3,0.269375798310998,-0.459228095301398,1.06240920843873
"Boddy et al.","Neoplasia","Mass",4,0.404628224349249,-0.351078056596516,1.18671121796536
"Boddy et al.","Neoplasia","Mass",5,0.237932791658848,-0.560425260497608,1.07539280585784
"Boddy et al.","Neoplasia","Mass",6,0.191066321878942,-0.662478589937538,1.1239717132747
"Boddy et al.","Neoplasia","Mass",7,0.25502208819874,-0.56883194523973,1.12236304045003
"Boddy et al.","Neoplasia","Mass",8,0.308620400837203,-0.608338322607324,1.32794357646557
"Boddy et al.","Neoplasia","Mass",9,0.112436425397242,-0.661447163477736,0.892357477764948
"Boddy et al.","Neoplasia","Mass",10,0.482696886580812,-0.336107799984858,1.42638057102976
"Boddy et al.","Neoplasia","Mass",11,0.220255055667618,-0.46448839133738,0.962471926612727
"Boddy et al.","Neoplasia","Mass",12,0.36456270998596,-0.307006223701551,1.03157404864727
"Boddy et al.","Neoplasia","Mass",13,0.367832149617387,-0.394943284011749,1.20216998122043
"Boddy et al.","Neoplasia","Mass",14,0.263425801920249,-0.517238176195379,1.09927999940715
"Boddy et al.","Neoplasia","Mass",15,0.249607281843288,-0.523273811808443,1.08757040528772
"Boddy et al.","Neoplasia","Mass",16,0.482090848982107,-0.351227287776132,1.43579228355743
"Boddy et al.","Neoplasia","Mass",17,0.201486810455336,-0.59087133536088,1.00353061675783
"Boddy et al.","Neoplasia","Mass",18,0.410493700292742,-0.306817261454357,1.16428395397646
"Boddy et al.","Neoplasia","Mass",19,0.237776778822759,-0.477315973226392,0.970908948012184
"Boddy et al.","Neoplasia","Mass",20,-0.01912901795551,-0.759544392046172,0.739659014429166
"Boddy et al.","Neoplasia","Mass",21,0.168864679789442,-0.503464434612455,0.791973576708325
"Boddy et al.","Neoplasia","Mass",22,0.267304122499022,-0.590611797631255,1.19236496636549
"Boddy et al.","Neoplasia","Mass",23,0.131631924617443,-0.963326110933405,1.32500449051591
"Boddy et al.","Neoplasia","Mass",24,0.0342019893545573,-0.660475168948081,0.750978879548506
"Boddy et al.","Neoplasia","Mass",25,0.182541230605496,-0.542588054986328,0.929479539191914
"Boddy et al.","Neoplasia","Mass",26,0.417460977526769,-0.361295478610684,1.28524213066729
"Boddy et al.","Neoplasia","Mass",27,0.148942702908237,-0.595352165238794,0.951003840291962
"Boddy et al.","Neoplasia","Mass",28,0.218628050223574,-0.681228042644905,1.04462740953601
"Boddy et al.","Neoplasia","Mass",29,0.195164088060902,-0.562914426048779,0.928272248396706
"Boddy et al.","Neoplasia","Mass",30,0.285179366524908,-0.452144400029092,1.07965881237288
"Boddy et al.","Neoplasia","Mass",31,0.117538371187424,-0.70486671359549,1.02137841513825
"Boddy et al.","Neoplasia","Mass",32,0.217314399795081,-0.433230748577109,0.871939625775247
"Boddy et al.","Neoplasia","Mass",33,0.117836435359113,-0.585163105151165,0.846329416814986
"Boddy et al.","Neoplasia","Mass",34,0.246358401852284,-0.612073043281648,1.11595284742053
"Boddy et al.","Neoplasia","Mass",35,0.227968310261242,-0.587845693754715,1.0678154336723
"Boddy et al.","Neoplasia","Mass",36,0.329028161837771,-0.489366907073484,1.15987634115776
"Boddy et al.","Neoplasia","Mass",37,0.298940282796708,-0.43717844619639,1.1032488764945
"Boddy et al.","Neoplasia","Mass",38,0.340021565832307,-0.483834348184012,1.19998451191806
"Boddy et al.","Neoplasia","Mass",39,0.303710467675089,-0.670248163830532,1.26731138131328
"Boddy et al.","Neoplasia","Mass",40,0.129361538068432,-0.675227687174465,0.962701920913545
"Boddy et al.","Neoplasia","Mass",41,0.280698052129272,-0.632068609457036,1.19381445389841
"Boddy et al.","Neoplasia","Mass",42,0.055804357053603,-0.597395846107969,0.719438250480413
"Boddy et al.","Neoplasia","Mass",43,0.223395796683859,-0.550853695466784,0.992182126994892
"Boddy et al.","Neoplasia","Mass",44,0.22194468068502,-0.535422453023504,0.9520215296381
"Boddy et al.","Neoplasia","Mass",45,0.239729707003046,-0.60908337991827,1.11020186610603
"Boddy et al.","Neoplasia","Mass",46,0.242969591008542,-0.576914181230844,1.10533825659779
"Boddy et al.","Neoplasia","Mass",47,0.178287384794956,-0.574795922814166,0.967986806840128
"Boddy et al.","Neoplasia","Mass",48,0.340001177603046,-0.591737072456884,1.36133958569708
"Boddy et al.","Neoplasia","Mass",49,0.165878241605267,-0.558039536472185,0.857310899703452
"Boddy et al.","Neoplasia","Mass",50,0.108680927828782,-0.760616899855837,1.04098380875285
