"Data","TumorType","RiskFactor","Simulation","Estimate","U95CI","L95CI"
"Compton et al.","Malignant","Longevity",1,5.36643078188868,0.229992787971091,11.9575907313819
"Compton et al.","Malignant","Longevity",2,2.92749928703308,-2.35985608449036,8.94381277314108
"Compton et al.","Malignant","Longevity",3,3.70491643903966,-0.536125701747168,8.63815162083304
"Compton et al.","Malignant","Longevity",4,5.45052840162668,-0.358179699332188,12.81128076022
"Compton et al.","Malignant","Longevity",5,4.96183774723802,-1.07717192392432,12.3195448363249
"Compton et al.","Malignant","Longevity",6,3.21040329496859,-0.89731789812176,7.49115129008349
"Compton et al.","Malignant","Longevity",7,4.83865374104846,-1.20129834354041,12.1496505343075
"Compton et al.","Malignant","Longevity",8,3.95617365137062,-0.713335943893704,9.54101760478834
"Compton et al.","Malignant","Longevity",9,3.6759973600631,-1.91453118529769,9.86819415955491
"Compton et al.","Malignant","Longevity",10,4.15116506862813,-0.310588913031965,9.08312047635656
"Compton et al.","Malignant","Longevity",11,3.29920325662947,-0.826703529091523,7.70111149272887
"Compton et al.","Malignant","Longevity",12,4.63352955617295,0.194473252533922,9.85974458550582
"Compton et al.","Malignant","Longevity",13,3.56987083072453,-1.89859680335109,9.39334326052414
"Compton et al.","Malignant","Longevity",14,2.73383606537146,-1.90332437998025,7.40906574830309
"Compton et al.","Malignant","Longevity",15,3.17346684821527,-2.12617999190413,9.24307623954028
"Compton et al.","Malignant","Longevity",16,4.03158429618561,-0.828036425563616,9.50183839621858
"Compton et al.","Malignant","Longevity",17,3.42057594250561,-2.40484585427463,9.58628607672044
"Compton et al.","Malignant","Longevity",18,5.47170484179237,-0.183387075980749,12.4089210811108
"Compton et al.","Malignant","Longevity",19,3.74169126830018,-1.22280578143499,9.47097581207889
"Compton et al.","Malignant","Longevity",20,3.65358776324245,-1.4053600923339,9.02520939737858
"Compton et al.","Malignant","Longevity",21,5.48633917471799,-0.351704124402214,12.8389680173872
"Compton et al.","Malignant","Longevity",22,2.30950049889302,-2.29128240343349,7.05826391403438
"Compton et al.","Malignant","Longevity",23,6.16756797851013,0.432109338111448,13.9368742832988
"Compton et al.","Malignant","Longevity",24,4.07526023697142,-1.43778737233352,10.1581024673107
"Compton et al.","Malignant","Longevity",25,3.43805714354412,-1.32705505286719,8.33139422175232
"Compton et al.","Malignant","Longevity",26,3.92535059021478,-1.66231655609261,10.3124725535954
"Compton et al.","Malignant","Longevity",27,3.9622693672409,-0.889014069376459,9.92459287302395
"Compton et al.","Malignant","Longevity",28,4.05883618045512,-0.328234550500131,9.38940909986424
"Compton et al.","Malignant","Longevity",29,3.5901646743656,-0.523123908221077,8.10653703341579
"Compton et al.","Malignant","Longevity",30,3.91315006587299,-1.11492500438715,9.74102215049608
"Compton et al.","Malignant","Longevity",31,4.62919708460001,0.0583409550476186,9.95470179083439
"Compton et al.","Malignant","Longevity",32,4.87533079534378,0.409981589020835,10.584864355244
"Compton et al.","Malignant","Longevity",33,4.20569354512604,-0.0300632452218784,9.21033341808235
"Compton et al.","Malignant","Longevity",34,5.40914027269706,0.486841003425737,11.5769136664375
"Compton et al.","Malignant","Longevity",35,4.86559042908181,-0.525897274980527,11.8477560695422
"Compton et al.","Malignant","Longevity",36,5.92458176004454,0.37315280865017,13.2935686852177
"Compton et al.","Malignant","Longevity",37,3.28880017832235,-1.26293849152291,8.77393991259584
"Compton et al.","Malignant","Longevity",38,3.45166589980201,-1.29992589335151,8.29273870025036
"Compton et al.","Malignant","Longevity",39,3.67455163632165,-1.57635271263888,9.79561738910099
"Compton et al.","Malignant","Longevity",40,3.66074635954249,-1.25498032267363,9.15025652612867
"Compton et al.","Malignant","Longevity",41,4.06323048013385,-1.72456377959032,10.0549045930321
"Compton et al.","Malignant","Longevity",42,4.99930396455985,0.238604506031291,10.7657619380058
"Compton et al.","Malignant","Longevity",43,5.16037684257038,-0.0136422362489035,11.5791598867367
"Compton et al.","Malignant","Longevity",44,5.79374620671673,0.114128420411706,13.2947854704815
"Compton et al.","Malignant","Longevity",45,6.276960172052,1.32405897530405,13.1573160104955
"Compton et al.","Malignant","Longevity",46,4.18843939301449,-0.925386857183435,10.7873555238404
"Compton et al.","Malignant","Longevity",47,6.30511313324514,0.590382438115291,13.6143005660879
"Compton et al.","Malignant","Longevity",48,3.56881756886966,-1.2940004744432,8.67398820091346
"Compton et al.","Malignant","Longevity",49,5.01755315951422,-0.68472803911559,12.4085884768646
"Compton et al.","Malignant","Longevity",50,4.49114992023681,-1.41409291472978,12.2269506501894
