"Data","TumorType","RiskFactor","Simulation","Estimate","U95CI","L95CI"
"Compton et al.","Malignant","Mass",1,1.15748466383506,0.000906341058078931,2.32204291104627
"Compton et al.","Malignant","Mass",2,1.11611693520622,-0.127972623890334,2.59262478282905
"Compton et al.","Malignant","Mass",3,3.2222844328608,1.33547474090802,5.86780985533714
"Compton et al.","Malignant","Mass",4,1.93420934191472,0.451416222642259,3.77952829601013
"Compton et al.","Malignant","Mass",5,1.13380528653874,-0.343511509528419,2.6304067364364
"Compton et al.","Malignant","Mass",6,1.46905652702849,-0.113594870004532,3.23778772379017
"Compton et al.","Malignant","Mass",7,2.00174273968728,0.676505085424754,3.52079793538416
"Compton et al.","Malignant","Mass",8,0.991509401280617,-0.497041087646383,2.50025643015089
"Compton et al.","Malignant","Mass",9,2.09158293964814,0.373871373266071,4.21216707230225
"Compton et al.","Malignant","Mass",10,1.33615595680625,-0.324798892162137,3.26529405090245
"Compton et al.","Malignant","Mass",11,1.93616521538336,0.204586933471265,4.01263231176987
"Compton et al.","Malignant","Mass",12,2.39775998170704,0.408896819751827,5.10518868870526
"Compton et al.","Malignant","Mass",13,1.45284934196232,-0.395099318176794,3.640482167808
"Compton et al.","Malignant","Mass",14,2.10105541438159,0.636630956166086,4.17901809153406
"Compton et al.","Malignant","Mass",15,1.30187140456132,-0.00817204298318674,2.6791863690848
"Compton et al.","Malignant","Mass",16,1.22005349708157,-0.14968669956637,2.76323262356676
"Compton et al.","Malignant","Mass",17,1.56340157873412,-0.180361540140565,3.68044082651595
"Compton et al.","Malignant","Mass",18,1.99908839514084,0.272094422958294,4.05295973505909
"Compton et al.","Malignant","Mass",19,2.60137644183406,0.804644091628141,4.85399419339835
"Compton et al.","Malignant","Mass",20,0.93038145186272,-0.372368182280632,2.31971950279053
"Compton et al.","Malignant","Mass",21,2.47282358335363,0.710834927852026,4.84952733692504
"Compton et al.","Malignant","Mass",22,1.47205920405572,0.229260711300875,2.82983047587971
"Compton et al.","Malignant","Mass",23,1.26195492795575,0.111108681356058,2.60196300361413
"Compton et al.","Malignant","Mass",24,2.19061199962394,0.664982396926422,4.05308404873751
"Compton et al.","Malignant","Mass",25,2.78521298445335,1.02882763347671,5.24126474828983
"Compton et al.","Malignant","Mass",26,1.2847870630372,-0.170559339430572,3.14301817202297
"Compton et al.","Malignant","Mass",27,1.43137731665026,0.174546800872378,2.94470421110208
"Compton et al.","Malignant","Mass",28,2.1267563140277,0.507365019898673,4.10813623887484
"Compton et al.","Malignant","Mass",29,1.23806075000794,-0.125357267401744,2.72560011437786
"Compton et al.","Malignant","Mass",30,1.13111780572131,-0.215835451791606,2.63032922629545
"Compton et al.","Malignant","Mass",31,1.49585686333354,0.215210074183109,2.990878469125
"Compton et al.","Malignant","Mass",32,1.34097556300603,0.157741796317622,2.8084977679759
"Compton et al.","Malignant","Mass",33,1.05289304194118,-0.130643850307838,2.3791083661976
"Compton et al.","Malignant","Mass",34,1.86078053787831,0.0721701244164172,3.87036595588878
"Compton et al.","Malignant","Mass",35,1.4605117032735,-0.229641988378837,3.59258610015256
"Compton et al.","Malignant","Mass",36,2.34968878514509,0.699980748117356,4.4567028468601
"Compton et al.","Malignant","Mass",37,1.062745269972,-0.147643596181349,2.50795847837021
"Compton et al.","Malignant","Mass",38,2.07344246463264,0.42780188622714,4.07040099186191
"Compton et al.","Malignant","Mass",39,2.00609966569907,0.216952252746246,4.20481334176613
"Compton et al.","Malignant","Mass",40,2.2277454644432,0.560271719135755,4.40114668102153
"Compton et al.","Malignant","Mass",41,3.68398305015602,1.1333194006538,7.37189232001816
"Compton et al.","Malignant","Mass",42,1.98502875221127,0.552263244312547,3.62334966392052
"Compton et al.","Malignant","Mass",43,1.16800378207168,-0.124678236797158,2.6979167289958
"Compton et al.","Malignant","Mass",44,3.75608555071539,1.01678035400541,7.82315259035372
"Compton et al.","Malignant","Mass",45,1.01224497176071,-0.31464798273296,2.60358478924784
"Compton et al.","Malignant","Mass",46,2.14093804371446,0.419806337624942,4.36271260032822
"Compton et al.","Malignant","Mass",47,3.0908938401534,0.769750778102095,6.43336559435935
"Compton et al.","Malignant","Mass",48,2.96082086002519,0.71606044628537,6.27831255884774
"Compton et al.","Malignant","Mass",49,1.09101124380066,-0.273243544584158,2.52334056587298
"Compton et al.","Malignant","Mass",50,2.03460278753299,0.346920903092525,4.11329219650321
