Data,TumorType,RiskFactor,Simulation,Estimate,U95CI,L95CI
Compton et al.,Malignant,Longevity,1,-0.764196252,-3.223720162,1.602400136
Compton et al.,Malignant,Longevity,2,-0.903694718,-3.566827997,1.611973425
Compton et al.,Malignant,Longevity,3,-0.201250192,-3.04844855,2.480175215
Compton et al.,Malignant,Longevity,4,-0.73572938,-3.447244137,1.883476888
Compton et al.,Malignant,Longevity,5,-0.432881364,-3.160605157,2.185648634
Compton et al.,Malignant,Longevity,6,-1.102020204,-3.796325372,1.50313932
Compton et al.,Malignant,Longevity,7,-0.719260964,-3.252615286,1.736324814
Compton et al.,Malignant,Longevity,8,-0.811408218,-3.529862681,1.842984897
Compton et al.,Malignant,Longevity,9,-0.647292347,-3.4037096,2.048282375
Compton et al.,Malignant,Longevity,10,-0.957481299,-3.555099359,1.766897038
Compton et al.,Malignant,Longevity,11,-0.739310563,-3.291274714,1.827441536
Compton et al.,Malignant,Longevity,12,-0.913756396,-3.906809829,1.973079745
Compton et al.,Malignant,Longevity,13,-0.526587619,-3.123800534,1.943954937
Compton et al.,Malignant,Longevity,14,-1.022256993,-3.441838639,1.387815882
Compton et al.,Malignant,Longevity,15,-0.686265042,-3.142200108,1.830210042
Compton et al.,Malignant,Longevity,16,-0.599090757,-3.349484893,2.204627078
Compton et al.,Malignant,Longevity,17,-0.252834234,-2.91385264,2.246364388
Compton et al.,Malignant,Longevity,18,-0.731890646,-3.398826224,1.837285094
Compton et al.,Malignant,Longevity,19,-0.347989323,-3.081949771,2.422174677
Compton et al.,Malignant,Longevity,20,-0.736693876,-3.311563887,1.744981427
Compton et al.,Malignant,Longevity,21,-0.496308146,-3.266609014,2.19365475
Compton et al.,Malignant,Longevity,22,-1.231551769,-3.633487103,1.193774847
Compton et al.,Malignant,Longevity,23,-0.588208073,-3.208933511,1.715741392
Compton et al.,Malignant,Longevity,24,-1.259006301,-3.771316697,1.097127027
Compton et al.,Malignant,Longevity,25,-0.28950508,-2.93609135,2.283806888
Compton et al.,Malignant,Longevity,26,-0.684706909,-3.12121354,1.625644438
Compton et al.,Malignant,Longevity,27,-0.708037765,-3.570014449,1.935143556
Compton et al.,Malignant,Longevity,28,-1.007639265,-3.975440722,1.810199431
Compton et al.,Malignant,Longevity,29,-0.580726852,-2.921605604,1.854692539
Compton et al.,Malignant,Longevity,30,-0.682195139,-3.336950204,1.867474789
Compton et al.,Malignant,Longevity,31,-0.725346282,-3.387569759,1.739153919
Compton et al.,Malignant,Longevity,32,-0.222149015,-3.00311106,2.316348424
Compton et al.,Malignant,Longevity,33,-0.336428011,-3.041551888,2.380073304
Compton et al.,Malignant,Longevity,34,-0.663066467,-2.975490068,1.624550145
Compton et al.,Malignant,Longevity,35,-0.968880022,-3.728839689,1.69736573
Compton et al.,Malignant,Longevity,36,-1.091835336,-3.997258172,1.656733548
Compton et al.,Malignant,Longevity,37,-1.145737719,-3.88048763,1.445855876
Compton et al.,Malignant,Longevity,38,-0.493508858,-3.033384512,1.8920981
Compton et al.,Malignant,Longevity,39,-0.82654761,-3.613277615,2.023390322
Compton et al.,Malignant,Longevity,40,-0.421324211,-3.181289627,2.298955558
Compton et al.,Malignant,Longevity,41,-0.812569313,-3.060382344,1.368440155
Compton et al.,Malignant,Longevity,42,-0.714623517,-3.23242497,1.622432484
Compton et al.,Malignant,Longevity,43,-0.748576278,-3.805954142,2.160875244
Compton et al.,Malignant,Longevity,44,-0.570651727,-3.03236376,1.857466296
Compton et al.,Malignant,Longevity,45,-0.290810198,-2.859813114,2.257082416
Compton et al.,Malignant,Longevity,46,-1.0697618,-3.661051978,1.403089313
Compton et al.,Malignant,Longevity,47,-0.954390406,-3.239332137,1.335992276
Compton et al.,Malignant,Longevity,48,-0.391884462,-2.864805651,2.165166974
Compton et al.,Malignant,Longevity,49,-0.882016257,-3.638389412,1.694125457
Compton et al.,Malignant,Longevity,50,-0.860675403,-3.677918429,2.107282026
