Data,TumorType,RiskFactor,Simulation,Estimate,U95CI,L95CI
Compton et al.,Malignant,Mass,1,0.608283871,-0.016708789,1.24538998
Compton et al.,Malignant,Mass,2,0.679092892,0.042608806,1.397132916
Compton et al.,Malignant,Mass,3,0.42972454,-0.164909239,1.106647947
Compton et al.,Malignant,Mass,4,0.555374707,-0.038608948,1.149633409
Compton et al.,Malignant,Mass,5,0.506280462,-0.120432078,1.188576557
Compton et al.,Malignant,Mass,6,0.598742021,0.004866621,1.218937664
Compton et al.,Malignant,Mass,7,0.731857422,0.099818433,1.394501904
Compton et al.,Malignant,Mass,8,0.607998386,-0.031155652,1.266421861
Compton et al.,Malignant,Mass,9,0.570798433,-0.03908735,1.236457568
Compton et al.,Malignant,Mass,10,0.554775922,-0.051217411,1.206836095
Compton et al.,Malignant,Mass,11,0.504081092,-0.102791093,1.105408779
Compton et al.,Malignant,Mass,12,0.52312657,-0.108101178,1.22181578
Compton et al.,Malignant,Mass,13,0.573168153,-0.124341252,1.279158499
Compton et al.,Malignant,Mass,14,0.471151059,-0.10811143,1.111639514
Compton et al.,Malignant,Mass,15,0.540500963,-0.12535154,1.246580693
Compton et al.,Malignant,Mass,16,0.525602204,-0.108267963,1.159112874
Compton et al.,Malignant,Mass,17,0.616435864,-0.040155621,1.306218351
Compton et al.,Malignant,Mass,18,0.569622462,-0.036568869,1.197133389
Compton et al.,Malignant,Mass,19,0.445772867,-0.158718163,1.097284111
Compton et al.,Malignant,Mass,20,0.528056591,-0.146898783,1.262779823
Compton et al.,Malignant,Mass,21,0.64243823,0.030197103,1.323485432
Compton et al.,Malignant,Mass,22,0.510504229,-0.096144539,1.168204165
Compton et al.,Malignant,Mass,23,0.520659311,-0.119691306,1.237451707
Compton et al.,Malignant,Mass,24,0.532618886,-0.059605223,1.126363129
Compton et al.,Malignant,Mass,25,0.526573408,-0.158436035,1.232413169
Compton et al.,Malignant,Mass,26,0.594045372,-0.108182875,1.329082181
Compton et al.,Malignant,Mass,27,0.47896134,-0.16159945,1.179604013
Compton et al.,Malignant,Mass,28,0.484515767,-0.09447717,1.105818851
Compton et al.,Malignant,Mass,29,0.453968799,-0.160821958,1.065254024
Compton et al.,Malignant,Mass,30,0.566117895,-0.017963253,1.186480361
Compton et al.,Malignant,Mass,31,0.465849062,-0.182871826,1.167340428
Compton et al.,Malignant,Mass,32,0.633465529,-0.007979451,1.299291746
Compton et al.,Malignant,Mass,33,0.531032375,-0.114301177,1.243836431
Compton et al.,Malignant,Mass,34,0.492527386,-0.164448927,1.156562907
Compton et al.,Malignant,Mass,35,0.575242266,-0.054594863,1.238026208
Compton et al.,Malignant,Mass,36,0.613178708,-0.045059532,1.321045049
Compton et al.,Malignant,Mass,37,0.642489858,0.039451304,1.294305734
Compton et al.,Malignant,Mass,38,0.469197727,-0.173231227,1.13336533
Compton et al.,Malignant,Mass,39,0.597846922,-0.08744956,1.316122795
Compton et al.,Malignant,Mass,40,0.478863441,-0.08660201,1.109403127
Compton et al.,Malignant,Mass,41,0.434292196,-0.11044369,1.054569948
Compton et al.,Malignant,Mass,42,0.522234024,-0.074804682,1.200952031
Compton et al.,Malignant,Mass,43,0.598628276,-0.028516436,1.264651339
Compton et al.,Malignant,Mass,44,0.650894894,0.025631268,1.321539598
Compton et al.,Malignant,Mass,45,0.560904526,-0.08263011,1.237963063
Compton et al.,Malignant,Mass,46,0.506493294,-0.099731992,1.175645601
Compton et al.,Malignant,Mass,47,0.587587739,-0.035729176,1.262587382
Compton et al.,Malignant,Mass,48,0.566948875,-0.071444746,1.26769241
Compton et al.,Malignant,Mass,49,0.476892236,-0.108416357,1.108288224
Compton et al.,Malignant,Mass,50,0.597061908,-0.063618162,1.249758799
