Data,TumorType,RiskFactor,Simulation,Estimate,U95CI,L95CI
Compton et al.,Malignant,Longevity,1,0.165069477,-0.922172975,1.287388981
Compton et al.,Malignant,Longevity,2,0.15424067,-0.948940113,1.206090643
Compton et al.,Malignant,Longevity,3,0.089206091,-0.966066184,1.196753876
Compton et al.,Malignant,Longevity,4,0.087182816,-0.962653564,1.163307578
Compton et al.,Malignant,Longevity,5,0.220649754,-0.793922396,1.294312318
Compton et al.,Malignant,Longevity,6,0.51035467,-0.571863658,1.640595828
Compton et al.,Malignant,Longevity,7,0.148048745,-1.009093267,1.22626889
Compton et al.,Malignant,Longevity,8,0.205520164,-0.843897836,1.265127347
Compton et al.,Malignant,Longevity,9,0.095969392,-0.960710496,1.191329368
Compton et al.,Malignant,Longevity,10,0.459978873,-0.611970963,1.548722785
Compton et al.,Malignant,Longevity,11,0.034875205,-1.054760548,1.148408475
Compton et al.,Malignant,Longevity,12,0.185370896,-0.935760403,1.318256565
Compton et al.,Malignant,Longevity,13,0.16415999,-0.8995604,1.280583106
Compton et al.,Malignant,Longevity,14,0.474737847,-0.599620442,1.602598826
Compton et al.,Malignant,Longevity,15,0.222997733,-0.757030788,1.245973866
Compton et al.,Malignant,Longevity,16,0.374486633,-0.660669984,1.492345774
Compton et al.,Malignant,Longevity,17,0.138386177,-0.977544031,1.26246347
Compton et al.,Malignant,Longevity,18,0.081982781,-0.990398615,1.190810134
Compton et al.,Malignant,Longevity,19,0.197543662,-0.944492336,1.314755835
Compton et al.,Malignant,Longevity,20,0.235736364,-0.787872903,1.260849949
Compton et al.,Malignant,Longevity,21,0.285175277,-0.791316129,1.364387618
Compton et al.,Malignant,Longevity,22,0.343389927,-0.694521786,1.404860434
Compton et al.,Malignant,Longevity,23,0.401123437,-0.693295809,1.459887094
Compton et al.,Malignant,Longevity,24,0.266806194,-0.760783341,1.339841694
Compton et al.,Malignant,Longevity,25,0.137970612,-0.973872727,1.230175656
Compton et al.,Malignant,Longevity,26,0.219343768,-0.873260308,1.320826365
Compton et al.,Malignant,Longevity,27,0.177080094,-0.931032096,1.303761644
Compton et al.,Malignant,Longevity,28,0.167385486,-0.958347917,1.283905015
Compton et al.,Malignant,Longevity,29,0.243496307,-0.799914111,1.382567944
Compton et al.,Malignant,Longevity,30,0.274250989,-0.8353971,1.429470542
Compton et al.,Malignant,Longevity,31,0.182643967,-0.935369027,1.323268299
Compton et al.,Malignant,Longevity,32,0.038663759,-0.957766526,1.092873961
Compton et al.,Malignant,Longevity,33,0.196271483,-0.846010185,1.301936206
Compton et al.,Malignant,Longevity,34,0.513515266,-0.681736966,1.678891609
Compton et al.,Malignant,Longevity,35,0.186941214,-0.868810929,1.29463001
Compton et al.,Malignant,Longevity,36,0.20637551,-0.877510751,1.286815215
Compton et al.,Malignant,Longevity,37,0.250928312,-0.735355677,1.292714482
Compton et al.,Malignant,Longevity,38,0.062395876,-1.135634701,1.253031055
Compton et al.,Malignant,Longevity,39,0.353829365,-0.731246613,1.39078456
Compton et al.,Malignant,Longevity,40,0.174414017,-0.807995571,1.204023865
Compton et al.,Malignant,Longevity,41,0.033436319,-0.968182665,1.05455158
Compton et al.,Malignant,Longevity,42,0.315632543,-0.788319414,1.326291262
Compton et al.,Malignant,Longevity,43,0.101656456,-0.95218188,1.19644821
Compton et al.,Malignant,Longevity,44,0.237609106,-0.855370265,1.340457223
Compton et al.,Malignant,Longevity,45,0.234866534,-0.79038665,1.194170776
Compton et al.,Malignant,Longevity,46,0.147243636,-0.872229411,1.203998716
Compton et al.,Malignant,Longevity,47,0.108057402,-0.909505468,1.210588212
Compton et al.,Malignant,Longevity,48,0.162794845,-0.9030071,1.238407904
Compton et al.,Malignant,Longevity,49,0.261576938,-0.819192295,1.376581929
Compton et al.,Malignant,Longevity,50,0.209048046,-0.797607256,1.23111179
