Data,TumorType,RiskFactor,Simulation,Estimate,U95CI,L95CI
Compton et al.,Malignant,Mass,1,0.195258778,-0.017682957,0.412388925
Compton et al.,Malignant,Mass,2,0.21328011,0.008824035,0.417290678
Compton et al.,Malignant,Mass,3,0.24711677,0.033743454,0.476508949
Compton et al.,Malignant,Mass,4,0.220548851,0.003148107,0.441675593
Compton et al.,Malignant,Mass,5,0.244878404,0.021465915,0.472612076
Compton et al.,Malignant,Mass,6,0.253057151,0.05782985,0.4471421
Compton et al.,Malignant,Mass,7,0.224324625,0.012320583,0.446713118
Compton et al.,Malignant,Mass,8,0.224733155,0.031736491,0.417395524
Compton et al.,Malignant,Mass,9,0.272899629,0.040481521,0.500804547
Compton et al.,Malignant,Mass,10,0.195923163,-0.004703438,0.40937213
Compton et al.,Malignant,Mass,11,0.213755076,0.001157532,0.442491818
Compton et al.,Malignant,Mass,12,0.259663808,0.040597047,0.483290235
Compton et al.,Malignant,Mass,13,0.229787657,0.038201219,0.441682304
Compton et al.,Malignant,Mass,14,0.246943046,0.043809268,0.458241348
Compton et al.,Malignant,Mass,15,0.19659398,-0.004362807,0.401401603
Compton et al.,Malignant,Mass,16,0.247090077,0.037930308,0.463435234
Compton et al.,Malignant,Mass,17,0.194809358,0.005454168,0.408092284
Compton et al.,Malignant,Mass,18,0.241556517,0.039106991,0.456016165
Compton et al.,Malignant,Mass,19,0.265980713,0.065354681,0.473911489
Compton et al.,Malignant,Mass,20,0.231753398,0.017986525,0.452067146
Compton et al.,Malignant,Mass,21,0.21774079,0.02043994,0.432161784
Compton et al.,Malignant,Mass,22,0.211507477,-0.005757538,0.430659167
Compton et al.,Malignant,Mass,23,0.265176682,0.0761876,0.476131069
Compton et al.,Malignant,Mass,24,0.226488125,0.015994233,0.447382658
Compton et al.,Malignant,Mass,25,0.218294514,0.017970199,0.438063267
Compton et al.,Malignant,Mass,26,0.211960458,0.020491171,0.407277348
Compton et al.,Malignant,Mass,27,0.231071698,0.021232577,0.440271415
Compton et al.,Malignant,Mass,28,0.22689626,0.027357656,0.447352874
Compton et al.,Malignant,Mass,29,0.20727581,0.023413586,0.40327635
Compton et al.,Malignant,Mass,30,0.206931831,-0.008106451,0.430661415
Compton et al.,Malignant,Mass,31,0.183110078,-0.008103323,0.391479603
Compton et al.,Malignant,Mass,32,0.241323291,0.034798509,0.455924144
Compton et al.,Malignant,Mass,33,0.219725999,0.004098754,0.43736723
Compton et al.,Malignant,Mass,34,0.231919608,0.030888554,0.438652763
Compton et al.,Malignant,Mass,35,0.243384164,0.035321752,0.459074004
Compton et al.,Malignant,Mass,36,0.214653668,0.015068662,0.42057518
Compton et al.,Malignant,Mass,37,0.195246656,0.009413371,0.399169561
Compton et al.,Malignant,Mass,38,0.245989216,0.059861917,0.449194574
Compton et al.,Malignant,Mass,39,0.210267655,-0.00700637,0.434474281
Compton et al.,Malignant,Mass,40,0.244282894,0.035897772,0.460433148
Compton et al.,Malignant,Mass,41,0.227032782,0.035741109,0.429768765
Compton et al.,Malignant,Mass,42,0.239182299,0.022511635,0.467247113
Compton et al.,Malignant,Mass,43,0.208271187,0.01131792,0.411891682
Compton et al.,Malignant,Mass,44,0.23567496,0.031575778,0.442774667
Compton et al.,Malignant,Mass,45,0.204009447,0.001558214,0.41826778
Compton et al.,Malignant,Mass,46,0.241130823,0.042337961,0.452093245
Compton et al.,Malignant,Mass,47,0.222789816,0.026653329,0.416088612
Compton et al.,Malignant,Mass,48,0.192757899,-0.013929017,0.407951286
Compton et al.,Malignant,Mass,49,0.275615898,0.072727048,0.49042852
Compton et al.,Malignant,Mass,50,0.215286799,0.009893434,0.429836235
