Data,TumorType,RiskFactor,Simulation,Estimate,U95CI,L95CI
Compton et al.,Malignant,Longevity,1,1.896852259,0.425756858,3.431914309
Compton et al.,Malignant,Longevity,2,1.975308793,0.37924819,3.703561893
Compton et al.,Malignant,Longevity,3,2.119651204,0.316929121,3.945386018
Compton et al.,Malignant,Longevity,4,2.080838016,0.499520852,3.615286553
Compton et al.,Malignant,Longevity,5,1.678222042,0.177292179,3.209901507
Compton et al.,Malignant,Longevity,6,1.757413254,0.140057245,3.294540796
Compton et al.,Malignant,Longevity,7,1.659425234,0.183654787,3.103374622
Compton et al.,Malignant,Longevity,8,1.943843275,0.452818551,3.440797094
Compton et al.,Malignant,Longevity,9,1.92938577,0.245042191,3.800409093
Compton et al.,Malignant,Longevity,10,1.77472098,0.342446982,3.269879824
Compton et al.,Malignant,Longevity,11,1.885259621,0.344873455,3.500960823
Compton et al.,Malignant,Longevity,12,1.70854822,0.083644961,3.254589671
Compton et al.,Malignant,Longevity,13,1.998498334,0.538928006,3.439191646
Compton et al.,Malignant,Longevity,14,1.707885665,0.248647485,3.14467834
Compton et al.,Malignant,Longevity,15,2.073573652,0.620717198,3.55228204
Compton et al.,Malignant,Longevity,16,1.699901752,0.260779257,3.116374896
Compton et al.,Malignant,Longevity,17,2.194698584,0.71020331,3.709051063
Compton et al.,Malignant,Longevity,18,2.331926654,0.64388682,4.049308354
Compton et al.,Malignant,Longevity,19,1.920934822,0.298020371,3.527387335
Compton et al.,Malignant,Longevity,20,2.053727731,0.621437617,3.500761501
Compton et al.,Malignant,Longevity,21,1.39025636,-0.129364346,2.968502478
Compton et al.,Malignant,Longevity,22,1.979807249,0.441215557,3.61083557
Compton et al.,Malignant,Longevity,23,2.154474264,0.483997573,3.867956834
Compton et al.,Malignant,Longevity,24,2.256961334,0.793555696,3.804389357
Compton et al.,Malignant,Longevity,25,1.760210927,0.152474571,3.283872101
Compton et al.,Malignant,Longevity,26,2.302574276,0.66618369,4.000750326
Compton et al.,Malignant,Longevity,27,1.573878312,-0.015984769,3.22714661
Compton et al.,Malignant,Longevity,28,2.188620082,0.605356904,3.85568024
Compton et al.,Malignant,Longevity,29,1.974631133,0.422001829,3.653306039
Compton et al.,Malignant,Longevity,30,1.602964824,0.128840724,3.101805226
Compton et al.,Malignant,Longevity,31,2.236533713,0.569377798,3.981816949
Compton et al.,Malignant,Longevity,32,1.485169836,-0.118514748,3.08036763
Compton et al.,Malignant,Longevity,33,2.386401547,0.574164336,4.398581985
Compton et al.,Malignant,Longevity,34,2.109750952,0.678091279,3.584823668
Compton et al.,Malignant,Longevity,35,2.358733302,0.665517504,4.148441709
Compton et al.,Malignant,Longevity,36,1.639249612,0.189950632,3.164325997
Compton et al.,Malignant,Longevity,37,2.397816066,0.680611797,4.136544859
Compton et al.,Malignant,Longevity,38,1.48660309,0.045372892,2.908459956
Compton et al.,Malignant,Longevity,39,2.071565985,0.550549142,3.552275543
Compton et al.,Malignant,Longevity,40,2.148795222,0.687984655,3.621942119
Compton et al.,Malignant,Longevity,41,1.984180457,0.292482969,3.809272548
Compton et al.,Malignant,Longevity,42,2.057384055,0.262849662,3.984012551
Compton et al.,Malignant,Longevity,43,1.878715864,0.408966561,3.288030933
Compton et al.,Malignant,Longevity,44,1.587664732,0.090719975,3.022480145
Compton et al.,Malignant,Longevity,45,1.671131501,0.05305547,3.26618866
Compton et al.,Malignant,Longevity,46,1.86230251,0.261986102,3.555005948
Compton et al.,Malignant,Longevity,47,1.933584012,0.361802684,3.582691584
Compton et al.,Malignant,Longevity,48,2.370120078,0.673762738,4.222351667
Compton et al.,Malignant,Longevity,49,1.992898289,0.389500342,3.575790606
Compton et al.,Malignant,Longevity,50,2.318714693,0.729462038,4.041462037
