Data,TumorType,RiskFactor,Simulation,Estimate,U95CI,L95CI
Compton et al.,Malignant,Mass,1,-0.011796976,-0.630497733,0.554903923
Compton et al.,Malignant,Mass,2,-0.240431731,-0.806919403,0.30006872
Compton et al.,Malignant,Mass,3,-0.050300834,-0.675254964,0.51350449
Compton et al.,Malignant,Mass,4,-0.114294455,-0.768913032,0.469745696
Compton et al.,Malignant,Mass,5,-0.147244419,-0.779618001,0.44072618
Compton et al.,Malignant,Mass,6,-0.210577061,-0.817849394,0.332023513
Compton et al.,Malignant,Mass,7,-0.158243036,-0.793319923,0.424630952
Compton et al.,Malignant,Mass,8,-0.071804131,-0.664753428,0.487168735
Compton et al.,Malignant,Mass,9,-0.126061039,-0.778193253,0.463343079
Compton et al.,Malignant,Mass,10,-0.025531518,-0.596507717,0.497036822
Compton et al.,Malignant,Mass,11,-0.192303275,-0.854596768,0.411531356
Compton et al.,Malignant,Mass,12,-0.141299878,-0.790692874,0.453772707
Compton et al.,Malignant,Mass,13,-0.024252917,-0.587263972,0.480198864
Compton et al.,Malignant,Mass,14,-0.124373263,-0.747842321,0.419511749
Compton et al.,Malignant,Mass,15,-0.194737715,-0.811532342,0.339070553
Compton et al.,Malignant,Mass,16,-0.236246375,-0.890612903,0.350519039
Compton et al.,Malignant,Mass,17,-0.119060918,-0.723211826,0.40815275
Compton et al.,Malignant,Mass,18,-0.147061661,-0.723718362,0.410379679
Compton et al.,Malignant,Mass,19,-0.039992365,-0.679446052,0.576517426
Compton et al.,Malignant,Mass,20,-0.092349851,-0.687537118,0.465292416
Compton et al.,Malignant,Mass,21,-0.189565146,-0.855233444,0.392349915
Compton et al.,Malignant,Mass,22,-0.195575001,-0.875919754,0.428037546
Compton et al.,Malignant,Mass,23,-0.219249421,-0.915366925,0.398883533
Compton et al.,Malignant,Mass,24,-0.14025004,-0.812531222,0.462378191
Compton et al.,Malignant,Mass,25,-0.154565762,-0.78270022,0.404955599
Compton et al.,Malignant,Mass,26,-0.174090202,-0.76560386,0.394444933
Compton et al.,Malignant,Mass,27,-0.142356777,-0.736408683,0.407769706
Compton et al.,Malignant,Mass,28,-0.080469312,-0.655578902,0.443902823
Compton et al.,Malignant,Mass,29,-0.117336118,-0.751605982,0.467481959
Compton et al.,Malignant,Mass,30,-0.160886066,-0.815348618,0.432601525
Compton et al.,Malignant,Mass,31,-0.072869978,-0.747504865,0.522863391
Compton et al.,Malignant,Mass,32,-0.148670387,-0.755916882,0.422458863
Compton et al.,Malignant,Mass,33,-0.087414725,-0.662693648,0.418370331
Compton et al.,Malignant,Mass,34,-0.136538781,-0.745710526,0.394078735
Compton et al.,Malignant,Mass,35,-0.109528115,-0.713042813,0.408847024
Compton et al.,Malignant,Mass,36,-0.228693277,-0.815157351,0.334433405
Compton et al.,Malignant,Mass,37,-0.16790501,-0.814311288,0.426727957
Compton et al.,Malignant,Mass,38,-0.083073939,-0.672219834,0.447844137
Compton et al.,Malignant,Mass,39,-0.219790941,-0.870387434,0.350092684
Compton et al.,Malignant,Mass,40,-0.048768906,-0.664068817,0.487172525
Compton et al.,Malignant,Mass,41,-0.134101363,-0.735226935,0.416896545
Compton et al.,Malignant,Mass,42,-0.165021382,-0.780734522,0.3776463
Compton et al.,Malignant,Mass,43,-0.207617681,-0.839315483,0.355985032
Compton et al.,Malignant,Mass,44,-0.269281196,-0.919104759,0.265725713
Compton et al.,Malignant,Mass,45,-0.198072536,-0.887465724,0.435749741
Compton et al.,Malignant,Mass,46,-0.179543189,-0.877116607,0.422220754
Compton et al.,Malignant,Mass,47,-0.047969024,-0.696907466,0.5166217
Compton et al.,Malignant,Mass,48,-0.162982914,-0.767356694,0.390818311
Compton et al.,Malignant,Mass,49,-0.036975817,-0.648066882,0.486321654
Compton et al.,Malignant,Mass,50,-0.169839246,-0.729043846,0.367905272
