"Data","TumorType","RiskFactor","Simulation","Estimate","U95CI","L95CI"
"Compton et al.","Neoplasia","Longevity",1,2.02775621024303,-1.70416560515064,5.84125408302951
"Compton et al.","Neoplasia","Longevity",2,1.59358674634399,-3.2899731306986,7.16841465949332
"Compton et al.","Neoplasia","Longevity",3,2.52015011822521,-2.20321277710473,7.36817169795618
"Compton et al.","Neoplasia","Longevity",4,2.07641872755848,-1.76938777642074,6.67172996393208
"Compton et al.","Neoplasia","Longevity",5,2.10000528452753,-2.06425681262876,6.11358989500167
"Compton et al.","Neoplasia","Longevity",6,2.61006123741556,-1.39255091124259,6.71616613435185
"Compton et al.","Neoplasia","Longevity",7,2.33505753300452,-2.78823654621296,7.6804260552821
"Compton et al.","Neoplasia","Longevity",8,2.65529895163398,-0.937847826513667,6.26536187683453
"Compton et al.","Neoplasia","Longevity",9,3.57472119346693,-0.216114967760092,7.64327609791016
"Compton et al.","Neoplasia","Longevity",10,1.78251288702252,-2.8086117682366,6.32636591834036
"Compton et al.","Neoplasia","Longevity",11,1.74092296928695,-2.66417552344763,5.90123605360142
"Compton et al.","Neoplasia","Longevity",12,2.12011128255215,-2.05286244978585,5.90457691867191
"Compton et al.","Neoplasia","Longevity",13,1.92576170189373,-2.28912295644008,6.02575266871751
"Compton et al.","Neoplasia","Longevity",14,2.88327856063345,-1.09495817412338,7.35442919900001
"Compton et al.","Neoplasia","Longevity",15,2.26659764177509,-1.61923227990611,6.68144495301077
"Compton et al.","Neoplasia","Longevity",16,2.07415840893659,-2.92344712661616,7.0160578774541
"Compton et al.","Neoplasia","Longevity",17,1.46931928833619,-2.73880495774574,5.41929007631263
"Compton et al.","Neoplasia","Longevity",18,2.62974463606436,-0.991579462662313,6.24533818077886
"Compton et al.","Neoplasia","Longevity",19,2.01176966710371,-1.84486345314446,6.02609409687603
"Compton et al.","Neoplasia","Longevity",20,1.32355086067349,-2.56650195913789,5.16477202910323
"Compton et al.","Neoplasia","Longevity",21,1.99182019812976,-1.97854494513596,5.68636024154016
"Compton et al.","Neoplasia","Longevity",22,1.55680959517487,-2.90416708729488,5.75857046283791
"Compton et al.","Neoplasia","Longevity",23,2.17807891464636,-1.7478503885948,5.95321750491218
"Compton et al.","Neoplasia","Longevity",24,2.46526489280579,-1.55793570271236,6.67718120577381
"Compton et al.","Neoplasia","Longevity",25,2.08689669610122,-1.64445794267545,6.09242425151049
"Compton et al.","Neoplasia","Longevity",26,2.75648736613623,-0.87010234024605,6.60675857941692
"Compton et al.","Neoplasia","Longevity",27,1.19750613092733,-3.25098855576821,5.91077244984264
"Compton et al.","Neoplasia","Longevity",28,2.73312374963048,-1.3165516316215,6.85606687728734
"Compton et al.","Neoplasia","Longevity",29,1.68383275279694,-1.98281612984108,5.49248586759648
"Compton et al.","Neoplasia","Longevity",30,1.94518975362857,-2.50977170111146,6.1988093311026
"Compton et al.","Neoplasia","Longevity",31,2.39470956018175,-2.25967146774883,7.62242120074534
"Compton et al.","Neoplasia","Longevity",32,2.63417406869596,-1.73459445323124,7.170294318039
"Compton et al.","Neoplasia","Longevity",33,2.23043994707979,-2.89589694341968,7.4511472496743
"Compton et al.","Neoplasia","Longevity",34,3.65874556074831,-0.0939963829703848,7.56745724031822
"Compton et al.","Neoplasia","Longevity",35,1.19252466810696,-3.35510102101411,5.63902761683859
"Compton et al.","Neoplasia","Longevity",36,2.98291862029819,-1.13958430118005,7.2804980091925
"Compton et al.","Neoplasia","Longevity",37,2.06169000783619,-2.17310801033636,6.06503175248372
"Compton et al.","Neoplasia","Longevity",38,2.18200140156012,-2.0286479193856,6.47069824586219
"Compton et al.","Neoplasia","Longevity",39,2.39241531669904,-1.59064493037019,6.35499243859654
"Compton et al.","Neoplasia","Longevity",40,3.10785774334578,-1.64083836037785,7.94697841816503
"Compton et al.","Neoplasia","Longevity",41,1.59671370741525,-2.89488449936552,5.97891898272913
"Compton et al.","Neoplasia","Longevity",42,2.3673174642105,-1.42197933722843,5.95129369000663
"Compton et al.","Neoplasia","Longevity",43,3.08592443191087,-1.62539515410642,7.83941224671685
"Compton et al.","Neoplasia","Longevity",44,3.19297120223525,-1.05371715201543,7.76038112485018
"Compton et al.","Neoplasia","Longevity",45,2.51113179917566,-2.26770676623716,7.39319148833853
"Compton et al.","Neoplasia","Longevity",46,2.24764092528935,-1.77426128560803,6.64362671066964
"Compton et al.","Neoplasia","Longevity",47,2.52306520973195,-1.44507478664455,6.30836010533909
"Compton et al.","Neoplasia","Longevity",48,3.06882167178362,-1.34376799271342,8.01670255175853
"Compton et al.","Neoplasia","Longevity",49,1.57938948599941,-1.90977113183503,4.92591548841531
"Compton et al.","Neoplasia","Longevity",50,2.4058102368741,-1.8990245652375,7.14434196632967
