Data,TumorType,RiskFactor,Simulation,Estimate,U95CI,L95CI
Compton et al.,Neoplasia,Longevity,1,-0.574406998,-2.519519335,1.201573891
Compton et al.,Neoplasia,Longevity,2,-0.247367657,-2.05513865,1.526597698
Compton et al.,Neoplasia,Longevity,3,-0.560129682,-2.177766659,1.023024648
Compton et al.,Neoplasia,Longevity,4,-0.381297843,-2.098217309,1.276816082
Compton et al.,Neoplasia,Longevity,5,-0.202194011,-1.952116463,1.480344059
Compton et al.,Neoplasia,Longevity,6,-0.159066149,-2.032397925,1.64683749
Compton et al.,Neoplasia,Longevity,7,-0.291726967,-1.959845041,1.46449326
Compton et al.,Neoplasia,Longevity,8,-0.250972863,-1.882461092,1.39711176
Compton et al.,Neoplasia,Longevity,9,-0.318348863,-1.978677446,1.333902234
Compton et al.,Neoplasia,Longevity,10,-0.288394358,-1.939994017,1.334326898
Compton et al.,Neoplasia,Longevity,11,-0.561013655,-2.638392142,1.426235658
Compton et al.,Neoplasia,Longevity,12,-0.621170615,-2.458977446,1.220109153
Compton et al.,Neoplasia,Longevity,13,-0.49210014,-2.236914775,1.273272809
Compton et al.,Neoplasia,Longevity,14,-0.431928065,-2.141398459,1.181621161
Compton et al.,Neoplasia,Longevity,15,-0.462500429,-2.145171825,1.170619624
Compton et al.,Neoplasia,Longevity,16,-1.083312092,-3.054252275,0.849483078
Compton et al.,Neoplasia,Longevity,17,-0.40456982,-2.257726226,1.372590938
Compton et al.,Neoplasia,Longevity,18,-0.636214683,-2.56591983,1.186108955
Compton et al.,Neoplasia,Longevity,19,-0.285397278,-2.093863272,1.449419499
Compton et al.,Neoplasia,Longevity,20,-0.229897273,-1.882394586,1.503589581
Compton et al.,Neoplasia,Longevity,21,-0.847110742,-2.721331211,0.973646015
Compton et al.,Neoplasia,Longevity,22,-0.039987062,-1.731448243,1.586192229
Compton et al.,Neoplasia,Longevity,23,-0.443609205,-2.132965475,1.213572728
Compton et al.,Neoplasia,Longevity,24,-0.630894711,-2.23626717,0.939513078
Compton et al.,Neoplasia,Longevity,25,-0.397539226,-1.981598934,1.189302412
Compton et al.,Neoplasia,Longevity,26,-0.270419303,-2.098906657,1.532875161
Compton et al.,Neoplasia,Longevity,27,-0.276650508,-1.99756916,1.389969782
Compton et al.,Neoplasia,Longevity,28,-0.535077689,-2.301733938,1.292817113
Compton et al.,Neoplasia,Longevity,29,-0.118921533,-1.633585588,1.360295377
Compton et al.,Neoplasia,Longevity,30,-0.333226173,-2.175276207,1.517227238
Compton et al.,Neoplasia,Longevity,31,-0.683900953,-2.587788284,1.167282395
Compton et al.,Neoplasia,Longevity,32,-0.297040797,-2.102732593,1.552882915
Compton et al.,Neoplasia,Longevity,33,-0.668690439,-2.279789509,0.896711786
Compton et al.,Neoplasia,Longevity,34,-0.548902748,-2.238346673,0.999692845
Compton et al.,Neoplasia,Longevity,35,-0.399409095,-2.053998427,1.193630443
Compton et al.,Neoplasia,Longevity,36,-0.40971028,-2.375268081,1.71855199
Compton et al.,Neoplasia,Longevity,37,-0.349791229,-2.094844006,1.392300084
Compton et al.,Neoplasia,Longevity,38,-0.517233156,-2.447660968,1.234344077
Compton et al.,Neoplasia,Longevity,39,-0.769693739,-2.463339607,0.993780135
Compton et al.,Neoplasia,Longevity,40,-0.324282476,-2.144360633,1.325651074
Compton et al.,Neoplasia,Longevity,41,-0.475327576,-2.112960517,1.199860504
Compton et al.,Neoplasia,Longevity,42,-0.409515444,-2.223842403,1.344302426
Compton et al.,Neoplasia,Longevity,43,-0.935694927,-3.005902728,1.063606535
Compton et al.,Neoplasia,Longevity,44,-0.387742273,-2.24725151,1.476934101
Compton et al.,Neoplasia,Longevity,45,-0.453573363,-2.229216041,1.447921848
Compton et al.,Neoplasia,Longevity,46,-0.143525257,-1.602652524,1.420965742
Compton et al.,Neoplasia,Longevity,47,-0.108711647,-1.607166354,1.430199399
Compton et al.,Neoplasia,Longevity,48,-0.510780229,-2.309148562,1.25292264
Compton et al.,Neoplasia,Longevity,49,-0.295981973,-1.942549581,1.285769169
Compton et al.,Neoplasia,Longevity,50,-0.291218165,-2.102443529,1.515702558
