"Data","TumorType","RiskFactor","Simulation","Estimate","U95CI","L95CI"
"Compton et al.","Neoplasia","Mass",1,0.339864554224824,-0.106029922541428,0.786663967697652
"Compton et al.","Neoplasia","Mass",2,0.489989157616586,0.0171294252536677,0.983290665599227
"Compton et al.","Neoplasia","Mass",3,0.287361648039711,-0.162754422051604,0.734520342324213
"Compton et al.","Neoplasia","Mass",4,0.346972374101803,-0.11325976728552,0.792233695533571
"Compton et al.","Neoplasia","Mass",5,0.413618392420691,-0.0392871202754054,0.870490683692712
"Compton et al.","Neoplasia","Mass",6,0.33123004182349,-0.0916561672901614,0.763476721339325
"Compton et al.","Neoplasia","Mass",7,0.451747820551585,0.00298031908482594,0.862990633977361
"Compton et al.","Neoplasia","Mass",8,0.343130646322554,-0.0211916917700568,0.725246651999165
"Compton et al.","Neoplasia","Mass",9,0.338919027290844,-0.115884866580332,0.793840017019076
"Compton et al.","Neoplasia","Mass",10,0.419089070536427,0.0182515028311456,0.823391134822203
"Compton et al.","Neoplasia","Mass",11,0.319328503103413,-0.130785463886415,0.814933117686366
"Compton et al.","Neoplasia","Mass",12,0.392178798027533,-0.0661159601785342,0.842578248582088
"Compton et al.","Neoplasia","Mass",13,0.351982680270172,-0.075819869468083,0.797899429863775
"Compton et al.","Neoplasia","Mass",14,0.402370931751388,-0.0167438216407948,0.855798644880678
"Compton et al.","Neoplasia","Mass",15,0.395120583672943,-0.0715671781884132,0.833018775121215
"Compton et al.","Neoplasia","Mass",16,0.442698779971116,0.00100872684782806,0.923060117656231
"Compton et al.","Neoplasia","Mass",17,0.344488439381005,-0.0794235076033161,0.764344529535588
"Compton et al.","Neoplasia","Mass",18,0.436745500377648,-0.00849372564672704,0.87752253420341
"Compton et al.","Neoplasia","Mass",19,0.411443726032,-0.0520697821869445,0.910451454545945
"Compton et al.","Neoplasia","Mass",20,0.317819523307551,-0.129230784734868,0.761901128459779
"Compton et al.","Neoplasia","Mass",21,0.335715107919236,-0.0736304000807348,0.744147457381475
"Compton et al.","Neoplasia","Mass",22,0.420727336093893,-0.0362284986647279,0.905937731963341
"Compton et al.","Neoplasia","Mass",23,0.37452914435137,-0.0998124274039265,0.849376536035207
"Compton et al.","Neoplasia","Mass",24,0.358671233165045,-0.0979173326360465,0.852699996390192
"Compton et al.","Neoplasia","Mass",25,0.456243484552375,-0.00752057728221956,0.919569836147243
"Compton et al.","Neoplasia","Mass",26,0.450715111154762,0.0314899757685223,0.871235459564005
"Compton et al.","Neoplasia","Mass",27,0.444032599428106,-0.0322393336690477,0.906344617794738
"Compton et al.","Neoplasia","Mass",28,0.285513465021963,-0.191804036257461,0.774748779980997
"Compton et al.","Neoplasia","Mass",29,0.348008820965667,-0.0728481873851119,0.789869120844679
"Compton et al.","Neoplasia","Mass",30,0.276124493575879,-0.170821193280439,0.731709805513634
"Compton et al.","Neoplasia","Mass",31,0.331381149246105,-0.0651845088227927,0.751454802149705
"Compton et al.","Neoplasia","Mass",32,0.336722688562406,-0.117825484102686,0.801932301393458
"Compton et al.","Neoplasia","Mass",33,0.357683829467414,-0.0710293565673207,0.78681149076991
"Compton et al.","Neoplasia","Mass",34,0.348650021839299,-0.0998798819433646,0.773844139004167
"Compton et al.","Neoplasia","Mass",35,0.483868416233477,0.0301487054407601,0.958364510977836
"Compton et al.","Neoplasia","Mass",36,0.426336432160149,0.00331999812012332,0.895061708802926
"Compton et al.","Neoplasia","Mass",37,0.346217346139283,-0.0850806888170507,0.774672461060616
"Compton et al.","Neoplasia","Mass",38,0.303871747863045,-0.157167928010043,0.786738736740623
"Compton et al.","Neoplasia","Mass",39,0.330434437366119,-0.112751293467571,0.794180102036949
"Compton et al.","Neoplasia","Mass",40,0.329299153035266,-0.0870070380268092,0.790180610769046
"Compton et al.","Neoplasia","Mass",41,0.329457310204377,-0.134796469107705,0.816698347938747
"Compton et al.","Neoplasia","Mass",42,0.284790553736225,-0.196252038773079,0.73161621870679
"Compton et al.","Neoplasia","Mass",43,0.343984480040799,-0.0833916481992805,0.778444745406117
"Compton et al.","Neoplasia","Mass",44,0.439670552715602,0.0359612368050395,0.829021091186427
"Compton et al.","Neoplasia","Mass",45,0.318941997657949,-0.128098290991209,0.797606781573215
"Compton et al.","Neoplasia","Mass",46,0.327257484045959,-0.109600804137653,0.755419831312207
"Compton et al.","Neoplasia","Mass",47,0.33006510175947,-0.100791372869974,0.77639000790463
"Compton et al.","Neoplasia","Mass",48,0.313838569642165,-0.145615803170193,0.773511601238165
"Compton et al.","Neoplasia","Mass",49,0.330192975074884,-0.142328664965076,0.805029215545168
"Compton et al.","Neoplasia","Mass",50,0.362325289531597,-0.0625980987695901,0.762270906675596
