Data,TumorType,RiskFactor,Simulation,Estimate,U95CI,L95CI
Compton et al.,Neoplasia,Longevity,1,0.361223206,-0.603979109,1.350587584
Compton et al.,Neoplasia,Longevity,2,0.419561598,-0.593908596,1.457789442
Compton et al.,Neoplasia,Longevity,3,0.231026957,-0.786140551,1.2224798
Compton et al.,Neoplasia,Longevity,4,0.463428367,-0.550490558,1.569626098
Compton et al.,Neoplasia,Longevity,5,0.379513786,-0.596259333,1.336946339
Compton et al.,Neoplasia,Longevity,6,0.468043823,-0.542539786,1.498998345
Compton et al.,Neoplasia,Longevity,7,0.360980454,-0.615951692,1.337413467
Compton et al.,Neoplasia,Longevity,8,0.290921794,-0.677742683,1.249047099
Compton et al.,Neoplasia,Longevity,9,0.298753148,-0.711118527,1.301775988
Compton et al.,Neoplasia,Longevity,10,0.479831804,-0.580866841,1.547399899
Compton et al.,Neoplasia,Longevity,11,0.495918022,-0.517606145,1.519809126
Compton et al.,Neoplasia,Longevity,12,0.441407774,-0.588356429,1.4461361
Compton et al.,Neoplasia,Longevity,13,0.342587483,-0.577865959,1.355936627
Compton et al.,Neoplasia,Longevity,14,0.414838787,-0.672436637,1.565945646
Compton et al.,Neoplasia,Longevity,15,0.362994654,-0.642723072,1.426098789
Compton et al.,Neoplasia,Longevity,16,0.406773842,-0.590598967,1.392442542
Compton et al.,Neoplasia,Longevity,17,0.566320622,-0.369399599,1.545432034
Compton et al.,Neoplasia,Longevity,18,0.318603964,-0.636177594,1.312970922
Compton et al.,Neoplasia,Longevity,19,0.26237539,-0.826199089,1.328600022
Compton et al.,Neoplasia,Longevity,20,0.427492536,-0.593800365,1.471808856
Compton et al.,Neoplasia,Longevity,21,0.279621218,-0.625407857,1.244820139
Compton et al.,Neoplasia,Longevity,22,0.470974298,-0.530973343,1.420937789
Compton et al.,Neoplasia,Longevity,23,0.348931879,-0.661597597,1.389324626
Compton et al.,Neoplasia,Longevity,24,0.447062847,-0.591111208,1.488121832
Compton et al.,Neoplasia,Longevity,25,0.368828907,-0.669043884,1.40012974
Compton et al.,Neoplasia,Longevity,26,0.385429923,-0.617873692,1.415554515
Compton et al.,Neoplasia,Longevity,27,0.297877409,-0.712177847,1.300717829
Compton et al.,Neoplasia,Longevity,28,0.368605427,-0.780189143,1.482437
Compton et al.,Neoplasia,Longevity,29,0.445151029,-0.517304634,1.414748436
Compton et al.,Neoplasia,Longevity,30,0.367366047,-0.619326192,1.383486037
Compton et al.,Neoplasia,Longevity,31,0.309601321,-0.700623875,1.358299625
Compton et al.,Neoplasia,Longevity,32,0.419648713,-0.596470124,1.463310882
Compton et al.,Neoplasia,Longevity,33,0.317218367,-0.66828077,1.298964635
Compton et al.,Neoplasia,Longevity,34,0.379989735,-0.606659593,1.364999222
Compton et al.,Neoplasia,Longevity,35,0.541498659,-0.50471964,1.527268115
Compton et al.,Neoplasia,Longevity,36,0.5980173,-0.499986597,1.661054958
Compton et al.,Neoplasia,Longevity,37,0.427943701,-0.623688576,1.466062372
Compton et al.,Neoplasia,Longevity,38,0.366717597,-0.606651568,1.411717994
Compton et al.,Neoplasia,Longevity,39,0.363872121,-0.592234645,1.338512385
Compton et al.,Neoplasia,Longevity,40,0.490352228,-0.517456323,1.48602677
Compton et al.,Neoplasia,Longevity,41,0.327158138,-0.701251583,1.364373259
Compton et al.,Neoplasia,Longevity,42,0.370013587,-0.573059988,1.35948156
Compton et al.,Neoplasia,Longevity,43,0.517481554,-0.433404857,1.517472285
Compton et al.,Neoplasia,Longevity,44,0.41173879,-0.566552355,1.454785555
Compton et al.,Neoplasia,Longevity,45,0.348033525,-0.767772892,1.424521168
Compton et al.,Neoplasia,Longevity,46,0.318706279,-0.6531152,1.278120573
Compton et al.,Neoplasia,Longevity,47,0.413060807,-0.569351575,1.440528684
Compton et al.,Neoplasia,Longevity,48,0.233250218,-0.713451012,1.19691853
Compton et al.,Neoplasia,Longevity,49,0.300352291,-0.714347728,1.324099577
Compton et al.,Neoplasia,Longevity,50,0.364925192,-0.619979457,1.336471559
