"Data","TumorType","RiskFactor","Simulation","Estimate","U95CI","L95CI"
"Compton et al.","Neoplasia","Mass",1,0.322941601453284,0.126769896632436,0.514118531771403
"Compton et al.","Neoplasia","Mass",2,0.28294032569529,0.106188630192991,0.478494788486476
"Compton et al.","Neoplasia","Mass",3,0.323920452417389,0.132950645607622,0.531748656827857
"Compton et al.","Neoplasia","Mass",4,0.311241737835467,0.119439876013815,0.50663788200239
"Compton et al.","Neoplasia","Mass",5,0.270070042465806,0.095311200006504,0.450752981044137
"Compton et al.","Neoplasia","Mass",6,0.314750797597911,0.122441812207032,0.506273138439197
"Compton et al.","Neoplasia","Mass",7,0.310988500546704,0.120122243807382,0.506175222385706
"Compton et al.","Neoplasia","Mass",8,0.321740723774123,0.124514042718784,0.523934715470932
"Compton et al.","Neoplasia","Mass",9,0.309649155377457,0.11400486559026,0.510036341440842
"Compton et al.","Neoplasia","Mass",10,0.321892761079567,0.131106958816374,0.515434261112114
"Compton et al.","Neoplasia","Mass",11,0.324165025990398,0.126279625597045,0.529698551570915
"Compton et al.","Neoplasia","Mass",12,0.304771036138906,0.103860057904242,0.51298041066253
"Compton et al.","Neoplasia","Mass",13,0.297933650122204,0.120643646166828,0.482024962004941
"Compton et al.","Neoplasia","Mass",14,0.316375059779041,0.133585231883686,0.506477859891642
"Compton et al.","Neoplasia","Mass",15,0.304824037985776,0.108496347548738,0.506243403028455
"Compton et al.","Neoplasia","Mass",16,0.316818947477263,0.122230689931351,0.52088763503114
"Compton et al.","Neoplasia","Mass",17,0.296368863052509,0.108605388655074,0.486183174305135
"Compton et al.","Neoplasia","Mass",18,0.332455273548668,0.138179255846993,0.52339913468676
"Compton et al.","Neoplasia","Mass",19,0.280672324502157,0.0911976042793769,0.466443288654731
"Compton et al.","Neoplasia","Mass",20,0.324161301595055,0.133207539370898,0.533427188424179
"Compton et al.","Neoplasia","Mass",21,0.326640404456642,0.127813198751282,0.53223115594291
"Compton et al.","Neoplasia","Mass",22,0.29336931591378,0.0975952711033608,0.494877025319579
"Compton et al.","Neoplasia","Mass",23,0.285478659426134,0.101007424163206,0.478969513697047
"Compton et al.","Neoplasia","Mass",24,0.324715671201289,0.134480734245882,0.52077812739594
"Compton et al.","Neoplasia","Mass",25,0.322023510078552,0.135955154559889,0.530693785215855
"Compton et al.","Neoplasia","Mass",26,0.283802558222875,0.100111855792901,0.485183361345892
"Compton et al.","Neoplasia","Mass",27,0.32988267941571,0.121383318291977,0.541227921819708
"Compton et al.","Neoplasia","Mass",28,0.347759818501911,0.154441841569415,0.555033716186587
"Compton et al.","Neoplasia","Mass",29,0.303954777501442,0.11036713275181,0.510273466208656
"Compton et al.","Neoplasia","Mass",30,0.30010429831678,0.116041419190506,0.482078950345662
"Compton et al.","Neoplasia","Mass",31,0.291034437915285,0.0996583194118364,0.481523479089693
"Compton et al.","Neoplasia","Mass",32,0.294926883701992,0.113368513465597,0.482441509819719
"Compton et al.","Neoplasia","Mass",33,0.305374395026021,0.111252623196312,0.516695486525339
"Compton et al.","Neoplasia","Mass",34,0.348799924782675,0.153424560471379,0.551442155437428
"Compton et al.","Neoplasia","Mass",35,0.289950062196874,0.0973859934230096,0.480342103582342
"Compton et al.","Neoplasia","Mass",36,0.283469141054892,0.0912443221421052,0.484287916707696
"Compton et al.","Neoplasia","Mass",37,0.290042975839021,0.105744417202176,0.479847500643477
"Compton et al.","Neoplasia","Mass",38,0.301127566400382,0.104841519383376,0.490379571031891
"Compton et al.","Neoplasia","Mass",39,0.307639670253459,0.123198054975234,0.508258699729098
"Compton et al.","Neoplasia","Mass",40,0.297184234464436,0.108863929342363,0.499086394960263
"Compton et al.","Neoplasia","Mass",41,0.306270345897736,0.112831384424511,0.522615893610402
"Compton et al.","Neoplasia","Mass",42,0.290324833267908,0.0996268419196249,0.488347069680401
"Compton et al.","Neoplasia","Mass",43,0.309739933192824,0.113935525567995,0.521464160483967
"Compton et al.","Neoplasia","Mass",44,0.284826590094822,0.0936345591459705,0.483101675759652
"Compton et al.","Neoplasia","Mass",45,0.300687949475373,0.109802149787108,0.489592809221697
"Compton et al.","Neoplasia","Mass",46,0.301934392384023,0.110165831074078,0.492840511679409
"Compton et al.","Neoplasia","Mass",47,0.317890483738449,0.125592036556873,0.520016124842497
"Compton et al.","Neoplasia","Mass",48,0.326633639503378,0.138665971793639,0.515613709072422
"Compton et al.","Neoplasia","Mass",49,0.302390151611116,0.104902752394923,0.498736283062731
"Compton et al.","Neoplasia","Mass",50,0.341260897780738,0.143665553260046,0.538978020701253
