Data,TumorType,RiskFactor,Simulation,Estimate,U95CI,L95CI
Compton et al.,Neoplasia,Longevity,1,2.113054074,0.623544813,3.612015799
Compton et al.,Neoplasia,Longevity,2,1.973202875,0.552903311,3.470748821
Compton et al.,Neoplasia,Longevity,3,1.832807089,0.294877083,3.399975335
Compton et al.,Neoplasia,Longevity,4,1.843124799,0.252746878,3.390548961
Compton et al.,Neoplasia,Longevity,5,2.093303991,0.695139123,3.531379706
Compton et al.,Neoplasia,Longevity,6,2.128572102,0.688698148,3.604299608
Compton et al.,Neoplasia,Longevity,7,2.219662563,0.546061389,4.041955315
Compton et al.,Neoplasia,Longevity,8,2.234446882,0.680214266,3.735356154
Compton et al.,Neoplasia,Longevity,9,2.183749845,0.712481433,3.687818128
Compton et al.,Neoplasia,Longevity,10,1.878785018,0.312256664,3.593624801
Compton et al.,Neoplasia,Longevity,11,2.116789414,0.768150735,3.51082404
Compton et al.,Neoplasia,Longevity,12,1.873767903,0.336288587,3.479384982
Compton et al.,Neoplasia,Longevity,13,1.981597337,0.526383991,3.379456381
Compton et al.,Neoplasia,Longevity,14,2.06541202,0.585399599,3.642502926
Compton et al.,Neoplasia,Longevity,15,2.278677979,0.86146048,3.712291033
Compton et al.,Neoplasia,Longevity,16,1.972429253,0.254433271,3.654315522
Compton et al.,Neoplasia,Longevity,17,1.908554379,0.346256279,3.548586262
Compton et al.,Neoplasia,Longevity,18,1.862561912,0.49983331,3.276017402
Compton et al.,Neoplasia,Longevity,19,2.088552973,0.48449494,3.753652315
Compton et al.,Neoplasia,Longevity,20,1.933767441,0.485521799,3.491898621
Compton et al.,Neoplasia,Longevity,21,1.837716819,0.463076112,3.209190776
Compton et al.,Neoplasia,Longevity,22,1.65044504,0.260155382,3.040192033
Compton et al.,Neoplasia,Longevity,23,2.301742576,0.767181979,3.818417927
Compton et al.,Neoplasia,Longevity,24,2.17485039,0.58840982,3.762303089
Compton et al.,Neoplasia,Longevity,25,1.868925139,0.356305872,3.344589666
Compton et al.,Neoplasia,Longevity,26,1.961759036,0.551865139,3.493167171
Compton et al.,Neoplasia,Longevity,27,1.739477102,0.291434734,3.220442382
Compton et al.,Neoplasia,Longevity,28,2.070009707,0.45632431,3.758490036
Compton et al.,Neoplasia,Longevity,29,1.82578083,0.285270257,3.356161791
Compton et al.,Neoplasia,Longevity,30,2.044090351,0.601096673,3.680423595
Compton et al.,Neoplasia,Longevity,31,2.200984799,0.679383917,3.68052532
Compton et al.,Neoplasia,Longevity,32,1.852440664,0.287330923,3.517095125
Compton et al.,Neoplasia,Longevity,33,1.948542816,0.438609572,3.42435933
Compton et al.,Neoplasia,Longevity,34,2.009656262,0.347230035,3.663324123
Compton et al.,Neoplasia,Longevity,35,2.210566945,0.689271273,3.853227768
Compton et al.,Neoplasia,Longevity,36,1.889627363,0.194461502,3.575994814
Compton et al.,Neoplasia,Longevity,37,2.027356418,0.382235338,3.629831826
Compton et al.,Neoplasia,Longevity,38,2.256297855,0.763506873,3.718049668
Compton et al.,Neoplasia,Longevity,39,1.87023283,0.366856774,3.361203816
Compton et al.,Neoplasia,Longevity,40,1.834691718,0.337884366,3.379112427
Compton et al.,Neoplasia,Longevity,41,1.979004695,0.547822963,3.493203315
Compton et al.,Neoplasia,Longevity,42,1.975354776,0.473340316,3.423822988
Compton et al.,Neoplasia,Longevity,43,1.876346797,0.414531213,3.460145389
Compton et al.,Neoplasia,Longevity,44,1.862009282,0.40774353,3.345730546
Compton et al.,Neoplasia,Longevity,45,2.230556389,0.769712367,3.791740666
Compton et al.,Neoplasia,Longevity,46,1.70892592,0.283477089,3.220283307
Compton et al.,Neoplasia,Longevity,47,1.972403506,0.5190717,3.515869911
Compton et al.,Neoplasia,Longevity,48,2.010990731,0.367135297,3.618203323
Compton et al.,Neoplasia,Longevity,49,2.055951179,0.657218483,3.538614765
Compton et al.,Neoplasia,Longevity,50,1.804471593,0.283617236,3.416033427
