"Data","TumorType","RiskFactor","Simulation","Estimate","U95CI","L95CI"
"Compton et al.","Neoplasia","Mass",1,0.0301466316647596,-0.50081660766034,0.507489794655355
"Compton et al.","Neoplasia","Mass",2,0.0812671337399346,-0.419569760430656,0.554106811713521
"Compton et al.","Neoplasia","Mass",3,0.120389945228907,-0.397745210571036,0.661753284844306
"Compton et al.","Neoplasia","Mass",4,0.03813199249915,-0.55160304480914,0.594725106174776
"Compton et al.","Neoplasia","Mass",5,0.0409352550010705,-0.509563672580055,0.538590542411889
"Compton et al.","Neoplasia","Mass",6,0.00896844261198999,-0.535576686356024,0.487142680977045
"Compton et al.","Neoplasia","Mass",7,0.0651255478324179,-0.505604571827233,0.577097622444626
"Compton et al.","Neoplasia","Mass",8,0.0321181019515767,-0.56430575865486,0.556735334853528
"Compton et al.","Neoplasia","Mass",9,-0.0334577003071985,-0.59622163470941,0.516969962830998
"Compton et al.","Neoplasia","Mass",10,0.0168301595953125,-0.510010638423074,0.504377862993176
"Compton et al.","Neoplasia","Mass",11,-0.00124163276819552,-0.531353958795626,0.496655566457051
"Compton et al.","Neoplasia","Mass",12,-0.0335592667195195,-0.546890430545581,0.482811277954337
"Compton et al.","Neoplasia","Mass",13,-0.0298646117929398,-0.575380351617786,0.517070553996026
"Compton et al.","Neoplasia","Mass",14,0.0371950311039466,-0.44910192730423,0.495254591917611
"Compton et al.","Neoplasia","Mass",15,0.0485968085195807,-0.509071885002149,0.563913228001642
"Compton et al.","Neoplasia","Mass",16,0.0315328991019396,-0.511788638354599,0.566443823114547
"Compton et al.","Neoplasia","Mass",17,-0.00227014233101252,-0.510005095202131,0.497167879816863
"Compton et al.","Neoplasia","Mass",18,-0.0113099626569461,-0.533045045910761,0.493387966158488
"Compton et al.","Neoplasia","Mass",19,0.0564396907461581,-0.494742755609438,0.556427275677106
"Compton et al.","Neoplasia","Mass",20,0.0341477183985041,-0.543718065262193,0.591730377493631
"Compton et al.","Neoplasia","Mass",21,-0.0132190675648462,-0.552044808828491,0.509579212142915
"Compton et al.","Neoplasia","Mass",22,0.0444594887765116,-0.5041185270657,0.582403972821304
"Compton et al.","Neoplasia","Mass",23,0.0487799823866371,-0.516555286068032,0.604770306021207
"Compton et al.","Neoplasia","Mass",24,-0.0363173964610721,-0.569337667269093,0.484766040361369
"Compton et al.","Neoplasia","Mass",25,0.0252868452032022,-0.542371049920938,0.574712890546935
"Compton et al.","Neoplasia","Mass",26,-0.0206892106406537,-0.543034251742701,0.470681904721535
"Compton et al.","Neoplasia","Mass",27,-0.00589581523844508,-0.54230908444791,0.502722318189222
"Compton et al.","Neoplasia","Mass",28,-0.0631979268161003,-0.613905143036238,0.48054023077727
"Compton et al.","Neoplasia","Mass",29,0.0868569406900757,-0.45342114347306,0.589311988827879
"Compton et al.","Neoplasia","Mass",30,-0.0503515963065948,-0.598144714214143,0.458026831702846
"Compton et al.","Neoplasia","Mass",31,0.105277087618067,-0.440399932132539,0.61314302581805
"Compton et al.","Neoplasia","Mass",32,0.00644020473692031,-0.464362762813732,0.466269559487659
"Compton et al.","Neoplasia","Mass",33,-0.0544583014293928,-0.585720182660921,0.469269093353683
"Compton et al.","Neoplasia","Mass",34,0.0111552577659015,-0.559785975887447,0.574059580705525
"Compton et al.","Neoplasia","Mass",35,-0.0621176847420014,-0.633215323286874,0.488128309915524
"Compton et al.","Neoplasia","Mass",36,-0.00340558882454728,-0.514817955564678,0.494375013455058
"Compton et al.","Neoplasia","Mass",37,0.0783865152156584,-0.525692046675274,0.590622437189661
"Compton et al.","Neoplasia","Mass",38,-0.0121618098091061,-0.484964974360278,0.44151391532172
"Compton et al.","Neoplasia","Mass",39,0.00736827572198457,-0.562879670777647,0.539049880855139
"Compton et al.","Neoplasia","Mass",40,0.0397660125162971,-0.506868247303631,0.605050462077964
"Compton et al.","Neoplasia","Mass",41,0.0469003263486611,-0.492115954397886,0.56675212094735
"Compton et al.","Neoplasia","Mass",42,-0.0727734805609101,-0.594758114868287,0.40935245361318
"Compton et al.","Neoplasia","Mass",43,0.0698479048374851,-0.442049943212161,0.543197117992027
"Compton et al.","Neoplasia","Mass",44,-0.0235177426813074,-0.563715674982083,0.499006900826214
"Compton et al.","Neoplasia","Mass",45,-0.0268864883514076,-0.597645597483222,0.510161295273925
"Compton et al.","Neoplasia","Mass",46,-0.0235676603749906,-0.53131995776677,0.497444538538105
"Compton et al.","Neoplasia","Mass",47,-0.0221479755565484,-0.542648946746246,0.485189857340855
"Compton et al.","Neoplasia","Mass",48,0.0434665240864473,-0.46273316917844,0.535050727892333
"Compton et al.","Neoplasia","Mass",49,0.0609938497058099,-0.411323914934982,0.508115898289771
"Compton et al.","Neoplasia","Mass",50,0.138001418069631,-0.42021143062695,0.674801190157581
