Data,TumorType,RiskFactor,Simulation,Estimate,U95CI,L95CI
Kapsetaki et al.,Malignant,Longevity,1,-0.403140745,-2.04463845,1.141818497
Kapsetaki et al.,Malignant,Longevity,2,-0.470202969,-2.113284098,1.120424164
Kapsetaki et al.,Malignant,Longevity,3,-0.427493386,-2.149077095,1.230569578
Kapsetaki et al.,Malignant,Longevity,4,-0.119417813,-1.838874378,1.681889471
Kapsetaki et al.,Malignant,Longevity,5,-0.170895043,-1.905765033,1.526387808
Kapsetaki et al.,Malignant,Longevity,6,-0.145223241,-1.842908152,1.539205791
Kapsetaki et al.,Malignant,Longevity,7,0.145326077,-1.628798107,2.068436647
Kapsetaki et al.,Malignant,Longevity,8,-0.151820685,-2.014837883,1.837743809
Kapsetaki et al.,Malignant,Longevity,9,-0.303308476,-2.093456533,1.449805612
Kapsetaki et al.,Malignant,Longevity,10,-0.271501164,-1.878178238,1.431571169
Kapsetaki et al.,Malignant,Longevity,11,-0.360516937,-2.32741331,1.759164126
Kapsetaki et al.,Malignant,Longevity,12,-0.46257947,-2.57796104,1.566773476
Kapsetaki et al.,Malignant,Longevity,13,-0.419949343,-2.296540665,1.347608889
Kapsetaki et al.,Malignant,Longevity,14,-0.25252724,-2.133276773,1.775538049
Kapsetaki et al.,Malignant,Longevity,15,-0.67053619,-2.486727575,1.133360634
Kapsetaki et al.,Malignant,Longevity,16,-0.110798205,-1.696904948,1.454310751
Kapsetaki et al.,Malignant,Longevity,17,-0.111345427,-1.893555627,1.638568361
Kapsetaki et al.,Malignant,Longevity,18,-0.368415976,-2.123571229,1.463038231
Kapsetaki et al.,Malignant,Longevity,19,-0.327098965,-2.025686438,1.310911814
Kapsetaki et al.,Malignant,Longevity,20,-0.186841379,-1.877871448,1.495319319
Kapsetaki et al.,Malignant,Longevity,21,-0.360616051,-2.248132576,1.392951362
Kapsetaki et al.,Malignant,Longevity,22,-0.122713789,-1.94680796,1.787839998
Kapsetaki et al.,Malignant,Longevity,23,-0.28994863,-1.9425405,1.290997958
Kapsetaki et al.,Malignant,Longevity,24,-0.289842688,-2.229415586,1.646480085
Kapsetaki et al.,Malignant,Longevity,25,-0.169530922,-1.814711615,1.537778902
Kapsetaki et al.,Malignant,Longevity,26,-0.314644324,-1.978563559,1.352766334
Kapsetaki et al.,Malignant,Longevity,27,-0.478126794,-2.309812461,1.284674713
Kapsetaki et al.,Malignant,Longevity,28,-0.225759699,-2.039941522,1.700111777
Kapsetaki et al.,Malignant,Longevity,29,-0.23217656,-2.029275477,1.685185345
Kapsetaki et al.,Malignant,Longevity,30,-0.510182783,-2.397495819,1.357987295
Kapsetaki et al.,Malignant,Longevity,31,-0.366629326,-2.047619152,1.27727027
Kapsetaki et al.,Malignant,Longevity,32,-0.209198437,-1.941463734,1.574138728
Kapsetaki et al.,Malignant,Longevity,33,-0.21616549,-2.15352703,1.720349044
Kapsetaki et al.,Malignant,Longevity,34,-0.411984396,-2.370563834,1.525818614
Kapsetaki et al.,Malignant,Longevity,35,-0.365377319,-1.933089089,1.126609344
Kapsetaki et al.,Malignant,Longevity,36,-0.552678034,-2.463238618,1.286587249
Kapsetaki et al.,Malignant,Longevity,37,-0.188733975,-2.007509994,1.840815453
Kapsetaki et al.,Malignant,Longevity,38,-0.538815634,-2.109104619,0.991811397
Kapsetaki et al.,Malignant,Longevity,39,-0.387604284,-2.037115577,1.272081796
Kapsetaki et al.,Malignant,Longevity,40,-0.371984465,-2.185579835,1.343956007
Kapsetaki et al.,Malignant,Longevity,41,-0.600969062,-2.503144563,1.319567074
Kapsetaki et al.,Malignant,Longevity,42,-0.428821523,-2.082870305,1.200547945
Kapsetaki et al.,Malignant,Longevity,43,-0.291611132,-1.897247683,1.216114562
Kapsetaki et al.,Malignant,Longevity,44,-0.249098625,-1.799116938,1.278301848
Kapsetaki et al.,Malignant,Longevity,45,-0.266085513,-1.940328136,1.394684017
Kapsetaki et al.,Malignant,Longevity,46,-0.285433687,-1.882255196,1.33793487
Kapsetaki et al.,Malignant,Longevity,47,-0.392764407,-2.049236838,1.172230651
Kapsetaki et al.,Malignant,Longevity,48,-0.347747833,-2.023939987,1.296133149
Kapsetaki et al.,Malignant,Longevity,49,-0.317158324,-2.205529759,1.462756061
Kapsetaki et al.,Malignant,Longevity,50,-0.558332985,-2.324329423,1.086034782
