Data,TumorType,RiskFactor,Simulation,Estimate,U95CI,L95CI
Kapsetaki et al.,Neoplasia,Longevity,1,-0.124167429,-1.628704483,1.466279575
Kapsetaki et al.,Neoplasia,Longevity,2,0.146405498,-0.916886428,1.227648079
Kapsetaki et al.,Neoplasia,Longevity,3,0.262693334,-1.042887118,1.543805615
Kapsetaki et al.,Neoplasia,Longevity,4,0.365050878,-0.919183399,1.608783744
Kapsetaki et al.,Neoplasia,Longevity,5,0.349891457,-1.081433512,1.786349042
Kapsetaki et al.,Neoplasia,Longevity,6,0.350629183,-0.832225397,1.566228053
Kapsetaki et al.,Neoplasia,Longevity,7,0.361063019,-0.985316062,1.713757013
Kapsetaki et al.,Neoplasia,Longevity,8,0.096806276,-1.145197936,1.29795042
Kapsetaki et al.,Neoplasia,Longevity,9,0.291972177,-1.009414597,1.553143278
Kapsetaki et al.,Neoplasia,Longevity,10,0.246803088,-1.024470219,1.484243409
Kapsetaki et al.,Neoplasia,Longevity,11,0.061976151,-1.287401627,1.446446318
Kapsetaki et al.,Neoplasia,Longevity,12,0.03006452,-1.20092697,1.290329504
Kapsetaki et al.,Neoplasia,Longevity,13,0.177421454,-1.101529738,1.442998698
Kapsetaki et al.,Neoplasia,Longevity,14,0.214757707,-1.297077983,1.811481301
Kapsetaki et al.,Neoplasia,Longevity,15,0.358577113,-1.062535856,1.806604016
Kapsetaki et al.,Neoplasia,Longevity,16,0.191715745,-1.196910554,1.543791482
Kapsetaki et al.,Neoplasia,Longevity,17,0.14108672,-1.182129094,1.416177864
Kapsetaki et al.,Neoplasia,Longevity,18,0.04127422,-1.478990546,1.594493264
Kapsetaki et al.,Neoplasia,Longevity,19,0.075072845,-1.301325806,1.527885442
Kapsetaki et al.,Neoplasia,Longevity,20,0.198398211,-1.059187084,1.458912515
Kapsetaki et al.,Neoplasia,Longevity,21,0.272299933,-1.059723,1.693624517
Kapsetaki et al.,Neoplasia,Longevity,22,0.315623108,-0.885948305,1.713053164
Kapsetaki et al.,Neoplasia,Longevity,23,0.132238665,-1.254090103,1.513878177
Kapsetaki et al.,Neoplasia,Longevity,24,0.038468158,-1.265361804,1.356988146
Kapsetaki et al.,Neoplasia,Longevity,25,0.180188124,-1.091582786,1.580546119
Kapsetaki et al.,Neoplasia,Longevity,26,0.116957085,-1.337629692,1.567738162
Kapsetaki et al.,Neoplasia,Longevity,27,-0.073048628,-1.247065218,1.132758137
Kapsetaki et al.,Neoplasia,Longevity,28,0.174136932,-0.959559291,1.250008464
Kapsetaki et al.,Neoplasia,Longevity,29,0.28032235,-1.059851194,1.615773101
Kapsetaki et al.,Neoplasia,Longevity,30,0.005759756,-1.297405901,1.377010356
Kapsetaki et al.,Neoplasia,Longevity,31,0.333992609,-1.002759299,1.622316586
Kapsetaki et al.,Neoplasia,Longevity,32,0.116672533,-1.25237711,1.58052956
Kapsetaki et al.,Neoplasia,Longevity,33,0.13718187,-1.273509038,1.539477343
Kapsetaki et al.,Neoplasia,Longevity,34,0.29677442,-1.091221816,1.605593714
Kapsetaki et al.,Neoplasia,Longevity,35,-0.052466139,-1.539981334,1.500911604
Kapsetaki et al.,Neoplasia,Longevity,36,0.332850177,-0.987473657,1.659737653
Kapsetaki et al.,Neoplasia,Longevity,37,0.02377009,-1.354422805,1.404695375
Kapsetaki et al.,Neoplasia,Longevity,38,0.073968174,-1.255724173,1.454763214
Kapsetaki et al.,Neoplasia,Longevity,39,0.185977825,-1.009555259,1.387124978
Kapsetaki et al.,Neoplasia,Longevity,40,0.328062243,-1.196131393,1.889780916
Kapsetaki et al.,Neoplasia,Longevity,41,0.179945548,-1.091028552,1.484010099
Kapsetaki et al.,Neoplasia,Longevity,42,-0.003643752,-1.343457082,1.320277908
Kapsetaki et al.,Neoplasia,Longevity,43,0.65183935,-0.742910423,2.021710429
Kapsetaki et al.,Neoplasia,Longevity,44,0.146906135,-1.192762242,1.578971535
Kapsetaki et al.,Neoplasia,Longevity,45,0.275626211,-1.005330932,1.530512398
Kapsetaki et al.,Neoplasia,Longevity,46,0.28967043,-1.154875329,1.830852742
Kapsetaki et al.,Neoplasia,Longevity,47,0.144110544,-1.386083542,1.567544183
Kapsetaki et al.,Neoplasia,Longevity,48,0.149351227,-1.172639522,1.504710039
Kapsetaki et al.,Neoplasia,Longevity,49,0.080652892,-1.239023928,1.331711361
Kapsetaki et al.,Neoplasia,Longevity,50,0.253553176,-1.014012912,1.636994585
