"Data","TumorType","RiskFactor","Simulation","Estimate","U95CI","L95CI"
"Kapsetaki et al.","Neoplasia","Mass",1,0.457483741949683,0.0473598634614775,0.886212249463604
"Kapsetaki et al.","Neoplasia","Mass",2,0.400415901364109,-0.0140311910531492,0.828214603733705
"Kapsetaki et al.","Neoplasia","Mass",3,0.396501642625625,-0.0757884114260666,0.870941295549252
"Kapsetaki et al.","Neoplasia","Mass",4,0.350530816456555,-0.0996436493192296,0.81650023995297
"Kapsetaki et al.","Neoplasia","Mass",5,0.476461054230682,0.021667585865395,0.948680906425662
"Kapsetaki et al.","Neoplasia","Mass",6,0.43579380568237,-0.0548073736972853,0.956081841605449
"Kapsetaki et al.","Neoplasia","Mass",7,0.533675031959979,0.0642126374418512,1.0235910501679
"Kapsetaki et al.","Neoplasia","Mass",8,0.415996346325914,-0.0601821609735584,0.880719022027357
"Kapsetaki et al.","Neoplasia","Mass",9,0.502391174831179,0.0334351878909053,0.95530116131648
"Kapsetaki et al.","Neoplasia","Mass",10,0.425568719425458,-0.0622454887884928,0.912050197684522
"Kapsetaki et al.","Neoplasia","Mass",11,0.42034003611756,-0.0044836680139058,0.867375725602662
"Kapsetaki et al.","Neoplasia","Mass",12,0.316889657787313,-0.0982367708982346,0.753853450175644
"Kapsetaki et al.","Neoplasia","Mass",13,0.419598032992198,-0.0421432749736354,0.868645074151539
"Kapsetaki et al.","Neoplasia","Mass",14,0.360702229026013,-0.112000685306857,0.817247589520562
"Kapsetaki et al.","Neoplasia","Mass",15,0.426640070199243,-0.0888205643830879,0.930241147538539
"Kapsetaki et al.","Neoplasia","Mass",16,0.389306043740736,-0.0594954887741793,0.848463734280664
"Kapsetaki et al.","Neoplasia","Mass",17,0.347446249996133,-0.0978491299677557,0.78790321182138
"Kapsetaki et al.","Neoplasia","Mass",18,0.424322800532669,-0.0337949341460459,0.893421808058111
"Kapsetaki et al.","Neoplasia","Mass",19,0.409279583581128,-0.0122273929847733,0.850323877833995
"Kapsetaki et al.","Neoplasia","Mass",20,0.463632350387973,0.0287177841940582,0.882032275311102
"Kapsetaki et al.","Neoplasia","Mass",21,0.441075153090704,-0.0101722828876074,0.894998278619719
"Kapsetaki et al.","Neoplasia","Mass",22,0.42345556250386,-0.0384642951534107,0.891133537383824
"Kapsetaki et al.","Neoplasia","Mass",23,0.482875664162435,0.0121480547561868,0.947519886601636
"Kapsetaki et al.","Neoplasia","Mass",24,0.405510753992078,-0.0471792713481064,0.846562287440042
"Kapsetaki et al.","Neoplasia","Mass",25,0.452386884889516,-0.0133373789187035,0.888976644255086
"Kapsetaki et al.","Neoplasia","Mass",26,0.383133009821428,-0.0180478941618202,0.783733147479629
"Kapsetaki et al.","Neoplasia","Mass",27,0.470637384748254,-0.00727718589721083,0.960863140647969
"Kapsetaki et al.","Neoplasia","Mass",28,0.43233649522193,-0.0373056675300686,0.881801967254758
"Kapsetaki et al.","Neoplasia","Mass",29,0.389283647551638,-0.0378457311228173,0.845788489543625
"Kapsetaki et al.","Neoplasia","Mass",30,0.391131195544382,-0.0908349725712434,0.860064776587113
"Kapsetaki et al.","Neoplasia","Mass",31,0.448514191006216,-0.0155748209326834,0.894682434987128
"Kapsetaki et al.","Neoplasia","Mass",32,0.43972982518759,-0.0174894167184348,0.913469877233598
"Kapsetaki et al.","Neoplasia","Mass",33,0.514432170698731,0.0888935604196913,0.982488694937153
"Kapsetaki et al.","Neoplasia","Mass",34,0.40524825935889,-0.0375288466073095,0.885535305677625
"Kapsetaki et al.","Neoplasia","Mass",35,0.392619086868724,-0.0632307188655318,0.834698976386077
"Kapsetaki et al.","Neoplasia","Mass",36,0.544888097893925,0.108587269793255,0.988694698654972
"Kapsetaki et al.","Neoplasia","Mass",37,0.525961227696563,0.0241408008245412,0.998846042645746
"Kapsetaki et al.","Neoplasia","Mass",38,0.529129674555783,0.032877827192875,1.05193069883887
"Kapsetaki et al.","Neoplasia","Mass",39,0.44048477380628,-0.0310601115671983,0.892706544479133
"Kapsetaki et al.","Neoplasia","Mass",40,0.394187874183756,-0.0511081654730242,0.828700951506679
"Kapsetaki et al.","Neoplasia","Mass",41,0.340646213116613,-0.155033287203776,0.835806964384936
"Kapsetaki et al.","Neoplasia","Mass",42,0.388977080203701,-0.0156012061274562,0.802488620745037
"Kapsetaki et al.","Neoplasia","Mass",43,0.425065363560636,-0.0500216127599366,0.900703330057597
"Kapsetaki et al.","Neoplasia","Mass",44,0.409241136420331,-0.0776349199749514,0.891708097555661
"Kapsetaki et al.","Neoplasia","Mass",45,0.536667168429508,0.0468943290864582,1.01683105757109
"Kapsetaki et al.","Neoplasia","Mass",46,0.367384475396786,-0.0903123508574149,0.806637857472762
"Kapsetaki et al.","Neoplasia","Mass",47,0.40654426979141,-0.0405135132293824,0.879997005985297
"Kapsetaki et al.","Neoplasia","Mass",48,0.480480783178983,-0.0141652485479532,1.00361805139973
"Kapsetaki et al.","Neoplasia","Mass",49,0.388335580586812,-0.0695037927609349,0.85631839899894
"Kapsetaki et al.","Neoplasia","Mass",50,0.478690831212064,0.043629419287942,0.920040126570416
