Data,TumorType,RiskFactor,Simulation,Estimate,U95CI,L95CI
Vincze et al.,Lethal,Longevity,1,-0.461870015,-1.511181502,0.592982641
Vincze et al.,Lethal,Longevity,2,-0.394114984,-1.445807592,0.666552371
Vincze et al.,Lethal,Longevity,3,-0.455708936,-1.531738177,0.616584324
Vincze et al.,Lethal,Longevity,4,-0.399760482,-1.526683041,0.768872472
Vincze et al.,Lethal,Longevity,5,-0.597854579,-1.717404855,0.495671214
Vincze et al.,Lethal,Longevity,6,-0.472466307,-1.588117226,0.644875328
Vincze et al.,Lethal,Longevity,7,-0.577135633,-1.665026199,0.478417596
Vincze et al.,Lethal,Longevity,8,-0.626514638,-1.869053657,0.577345642
Vincze et al.,Lethal,Longevity,9,-0.773230966,-1.850998954,0.33961978
Vincze et al.,Lethal,Longevity,10,-0.593315405,-1.660305391,0.495743003
Vincze et al.,Lethal,Longevity,11,-0.471613167,-1.627331304,0.607347256
Vincze et al.,Lethal,Longevity,12,-0.39674671,-1.447674857,0.673179293
Vincze et al.,Lethal,Longevity,13,-0.41058304,-1.530159605,0.71669239
Vincze et al.,Lethal,Longevity,14,-0.547636396,-1.587791022,0.507125756
Vincze et al.,Lethal,Longevity,15,-0.497110002,-1.613474434,0.532680055
Vincze et al.,Lethal,Longevity,16,-0.49008611,-1.525316044,0.560980351
Vincze et al.,Lethal,Longevity,17,-0.320784636,-1.451243155,0.860693761
Vincze et al.,Lethal,Longevity,18,-0.627680902,-1.67326985,0.493420399
Vincze et al.,Lethal,Longevity,19,-0.568225534,-1.612864137,0.505581188
Vincze et al.,Lethal,Longevity,20,-0.56803234,-1.688428666,0.561843364
Vincze et al.,Lethal,Longevity,21,-0.606880657,-1.701201976,0.495574132
Vincze et al.,Lethal,Longevity,22,-0.547175836,-1.670573589,0.584261277
Vincze et al.,Lethal,Longevity,23,-0.638172811,-1.736475606,0.427896255
Vincze et al.,Lethal,Longevity,24,-0.809462063,-1.841041305,0.284838133
Vincze et al.,Lethal,Longevity,25,-0.477648512,-1.549010766,0.607592669
Vincze et al.,Lethal,Longevity,26,-0.481462896,-1.59515769,0.602135331
Vincze et al.,Lethal,Longevity,27,-0.704871593,-1.843056775,0.449048067
Vincze et al.,Lethal,Longevity,28,-0.605051807,-1.68831219,0.454543742
Vincze et al.,Lethal,Longevity,29,-0.493296152,-1.492047537,0.550385555
Vincze et al.,Lethal,Longevity,30,-0.608888581,-1.659905023,0.433400984
Vincze et al.,Lethal,Longevity,31,-0.537041199,-1.616753468,0.547635981
Vincze et al.,Lethal,Longevity,32,-0.628109891,-1.76261141,0.504404056
Vincze et al.,Lethal,Longevity,33,-0.595085017,-1.659744394,0.572924647
Vincze et al.,Lethal,Longevity,34,-0.630283989,-1.727149743,0.470720434
Vincze et al.,Lethal,Longevity,35,-0.436910509,-1.536025371,0.65190488
Vincze et al.,Lethal,Longevity,36,-0.630787124,-1.634240368,0.380050141
Vincze et al.,Lethal,Longevity,37,-0.831423211,-1.862443223,0.21906251
Vincze et al.,Lethal,Longevity,38,-0.378490766,-1.382344418,0.648439618
Vincze et al.,Lethal,Longevity,39,-0.693906515,-1.802278569,0.357889216
Vincze et al.,Lethal,Longevity,40,-0.656439712,-1.694242124,0.415518132
Vincze et al.,Lethal,Longevity,41,-0.559851929,-1.707332262,0.60061528
Vincze et al.,Lethal,Longevity,42,-0.769384769,-1.835213801,0.276964973
Vincze et al.,Lethal,Longevity,43,-0.479873446,-1.481814455,0.562219179
Vincze et al.,Lethal,Longevity,44,-0.469934661,-1.477202197,0.552492945
Vincze et al.,Lethal,Longevity,45,-0.374131109,-1.465805995,0.730894744
Vincze et al.,Lethal,Longevity,46,-0.44780436,-1.409481688,0.540843372
Vincze et al.,Lethal,Longevity,47,-0.492128217,-1.731890218,0.650626375
Vincze et al.,Lethal,Longevity,48,-0.213771584,-1.344274942,0.899094534
Vincze et al.,Lethal,Longevity,49,-0.493436093,-1.544533828,0.610775839
Vincze et al.,Lethal,Longevity,50,-0.354858529,-1.3973285,0.713670158
