Data,TumorType,RiskFactor,Simulation,Estimate,U95CI,L95CI
Vincze et al.,Malignant,Mass,1,-0.226887478,-0.425709734,-0.034388312
Vincze et al.,Malignant,Mass,2,-0.205161983,-0.386531779,-0.025407563
Vincze et al.,Malignant,Mass,3,-0.215126357,-0.418824411,-0.012068125
Vincze et al.,Malignant,Mass,4,-0.229130169,-0.4265131,-0.035484302
Vincze et al.,Malignant,Mass,5,-0.246444687,-0.441326108,-0.059755107
Vincze et al.,Malignant,Mass,6,-0.232161447,-0.440181636,-0.03421199
Vincze et al.,Malignant,Mass,7,-0.209685473,-0.406722999,-0.016068472
Vincze et al.,Malignant,Mass,8,-0.206939379,-0.407690911,-0.00766309
Vincze et al.,Malignant,Mass,9,-0.20531223,-0.380666349,-0.02658629
Vincze et al.,Malignant,Mass,10,-0.22060651,-0.417977248,-0.031729057
Vincze et al.,Malignant,Mass,11,-0.23826899,-0.431303677,-0.053032961
Vincze et al.,Malignant,Mass,12,-0.227622479,-0.41926445,-0.037433144
Vincze et al.,Malignant,Mass,13,-0.235463979,-0.422822613,-0.043881543
Vincze et al.,Malignant,Mass,14,-0.235585468,-0.434777141,-0.048506415
Vincze et al.,Malignant,Mass,15,-0.270726469,-0.483885037,-0.070033011
Vincze et al.,Malignant,Mass,16,-0.275260909,-0.47723839,-0.078452609
Vincze et al.,Malignant,Mass,17,-0.19839748,-0.397688805,-0.006164556
Vincze et al.,Malignant,Mass,18,-0.252448392,-0.462025719,-0.040626532
Vincze et al.,Malignant,Mass,19,-0.263533098,-0.455766462,-0.066183881
Vincze et al.,Malignant,Mass,20,-0.231412745,-0.430840583,-0.027333363
Vincze et al.,Malignant,Mass,21,-0.215034601,-0.398746694,-0.026612161
Vincze et al.,Malignant,Mass,22,-0.22715828,-0.426394491,-0.022003802
Vincze et al.,Malignant,Mass,23,-0.219491228,-0.410375048,-0.034659836
Vincze et al.,Malignant,Mass,24,-0.226870309,-0.416779333,-0.025348906
Vincze et al.,Malignant,Mass,25,-0.250168575,-0.446705936,-0.051700455
Vincze et al.,Malignant,Mass,26,-0.220421465,-0.416294029,-0.025908604
Vincze et al.,Malignant,Mass,27,-0.201960126,-0.391781635,-0.006992171
Vincze et al.,Malignant,Mass,28,-0.18968028,-0.390285437,0.003414302
Vincze et al.,Malignant,Mass,29,-0.227747832,-0.416385675,-0.037901944
Vincze et al.,Malignant,Mass,30,-0.197734131,-0.417853366,0.012170143
Vincze et al.,Malignant,Mass,31,-0.199252139,-0.403814143,0.005364934
Vincze et al.,Malignant,Mass,32,-0.232316295,-0.433507278,-0.038861825
Vincze et al.,Malignant,Mass,33,-0.280173481,-0.482946631,-0.077866113
Vincze et al.,Malignant,Mass,34,-0.199556987,-0.390240864,0.000926515
Vincze et al.,Malignant,Mass,35,-0.236839463,-0.443676668,-0.033124481
Vincze et al.,Malignant,Mass,36,-0.244856241,-0.436432804,-0.052858028
Vincze et al.,Malignant,Mass,37,-0.214430768,-0.426278706,-0.01429501
Vincze et al.,Malignant,Mass,38,-0.21366766,-0.416507659,-0.024871446
Vincze et al.,Malignant,Mass,39,-0.238759022,-0.433480859,-0.038387608
Vincze et al.,Malignant,Mass,40,-0.194055196,-0.393392212,0.015685689
Vincze et al.,Malignant,Mass,41,-0.257981675,-0.453241453,-0.068758754
Vincze et al.,Malignant,Mass,42,-0.238754641,-0.430658026,-0.046005623
Vincze et al.,Malignant,Mass,43,-0.22764027,-0.412820592,-0.04793018
Vincze et al.,Malignant,Mass,44,-0.255714737,-0.453716645,-0.050044836
Vincze et al.,Malignant,Mass,45,-0.243137025,-0.441447946,-0.041301131
Vincze et al.,Malignant,Mass,46,-0.22889499,-0.414610721,-0.045106478
Vincze et al.,Malignant,Mass,47,-0.257461987,-0.465530329,-0.057726795
Vincze et al.,Malignant,Mass,48,-0.24920581,-0.467908793,-0.053153635
Vincze et al.,Malignant,Mass,49,-0.215680004,-0.406602308,-0.015251893
Vincze et al.,Malignant,Mass,50,-0.222091201,-0.419089164,-0.032830195
