Data,TumorType,RiskFactor,Simulation,Estimate,U95CI,L95CI
Vincze et al.,Malignant,Longevity,1,-0.580013161,-1.994468202,0.777901132
Vincze et al.,Malignant,Longevity,2,-0.579972899,-1.979297971,0.761525887
Vincze et al.,Malignant,Longevity,3,-0.315766482,-1.694786004,1.088777436
Vincze et al.,Malignant,Longevity,4,-0.288135957,-1.699190964,1.17627166
Vincze et al.,Malignant,Longevity,5,-0.366381721,-1.769938215,1.03582219
Vincze et al.,Malignant,Longevity,6,-0.728591678,-2.082040689,0.675409952
Vincze et al.,Malignant,Longevity,7,-0.471345489,-1.811444942,0.905648381
Vincze et al.,Malignant,Longevity,8,-0.590902041,-2.030465862,0.869134548
Vincze et al.,Malignant,Longevity,9,-0.239471814,-1.684799938,1.132211763
Vincze et al.,Malignant,Longevity,10,-0.57614586,-2.008392595,0.829536075
Vincze et al.,Malignant,Longevity,11,-0.458567701,-1.828937418,0.894834005
Vincze et al.,Malignant,Longevity,12,-0.456427145,-1.947405918,1.035228235
Vincze et al.,Malignant,Longevity,13,-0.356349722,-1.688923092,1.047432876
Vincze et al.,Malignant,Longevity,14,-0.349158803,-1.641277417,0.976669314
Vincze et al.,Malignant,Longevity,15,-0.477531307,-1.780976189,0.828306258
Vincze et al.,Malignant,Longevity,16,-0.675489807,-2.015641809,0.792326718
Vincze et al.,Malignant,Longevity,17,-0.644858148,-2.053896991,0.737492568
Vincze et al.,Malignant,Longevity,18,-0.427589782,-1.911275024,0.986956811
Vincze et al.,Malignant,Longevity,19,-0.644311471,-2.02687582,0.721278557
Vincze et al.,Malignant,Longevity,20,-0.538358925,-1.93779423,0.816043647
Vincze et al.,Malignant,Longevity,21,-0.460210536,-1.717511934,0.936497866
Vincze et al.,Malignant,Longevity,22,-0.52560696,-1.957374412,0.944727625
Vincze et al.,Malignant,Longevity,23,-0.327776716,-1.734755899,1.093088751
Vincze et al.,Malignant,Longevity,24,-0.628829462,-1.967742584,0.688475581
Vincze et al.,Malignant,Longevity,25,-0.488010079,-1.811099598,0.837166052
Vincze et al.,Malignant,Longevity,26,-0.438738778,-1.781986608,0.901517097
Vincze et al.,Malignant,Longevity,27,-0.302058023,-1.673929706,1.081330567
Vincze et al.,Malignant,Longevity,28,-0.165142593,-1.573815259,1.295419026
Vincze et al.,Malignant,Longevity,29,-0.536360352,-1.970429456,0.882454166
Vincze et al.,Malignant,Longevity,30,-0.682585503,-2.112010652,0.741502659
Vincze et al.,Malignant,Longevity,31,-0.468643551,-2.015612088,0.944466888
Vincze et al.,Malignant,Longevity,32,-0.605157073,-2.018479851,0.798717374
Vincze et al.,Malignant,Longevity,33,-0.722971566,-2.200516974,0.682796323
Vincze et al.,Malignant,Longevity,34,-0.473325488,-1.796519874,0.853005797
Vincze et al.,Malignant,Longevity,35,-0.586928866,-1.957272564,0.879348667
Vincze et al.,Malignant,Longevity,36,-0.710727946,-2.109667835,0.745807503
Vincze et al.,Malignant,Longevity,37,-0.574925725,-1.99438187,0.798704168
Vincze et al.,Malignant,Longevity,38,-0.544203759,-1.832522444,0.819164132
Vincze et al.,Malignant,Longevity,39,-0.366934306,-1.766683513,0.999672827
Vincze et al.,Malignant,Longevity,40,-0.414457517,-1.736795667,0.952634458
Vincze et al.,Malignant,Longevity,41,-0.557515301,-2.013045167,0.819006143
Vincze et al.,Malignant,Longevity,42,-0.610527626,-1.985554881,0.664405617
Vincze et al.,Malignant,Longevity,43,-0.491098097,-1.801780965,0.830769793
Vincze et al.,Malignant,Longevity,44,-0.330660864,-1.682685563,1.02026604
Vincze et al.,Malignant,Longevity,45,-0.827846827,-2.206977297,0.531707854
Vincze et al.,Malignant,Longevity,46,-0.572949484,-1.976470433,0.868147516
Vincze et al.,Malignant,Longevity,47,-0.450804154,-1.841340871,0.908989432
Vincze et al.,Malignant,Longevity,48,-0.556071871,-1.941283017,0.839951812
Vincze et al.,Malignant,Longevity,49,-0.646812068,-2.028067557,0.714132662
Vincze et al.,Malignant,Longevity,50,-0.488923247,-1.833926605,0.866748769
