Data,TumorType,RiskFactor,Simulation,Estimate,U95CI,L95CI
Vincze et al.,Lethal,Mass,1,-0.20091096,-0.44195276,0.028337929
Vincze et al.,Lethal,Mass,2,-0.254261332,-0.487900461,-0.027828091
Vincze et al.,Lethal,Mass,3,-0.257973581,-0.484934697,-0.02648279
Vincze et al.,Lethal,Mass,4,-0.229839824,-0.483247073,0.006557676
Vincze et al.,Lethal,Mass,5,-0.216698477,-0.440705574,0.008773347
Vincze et al.,Lethal,Mass,6,-0.229027552,-0.444133891,-0.005708292
Vincze et al.,Lethal,Mass,7,-0.194910904,-0.432000767,0.035497043
Vincze et al.,Lethal,Mass,8,-0.280814368,-0.513919214,-0.053710011
Vincze et al.,Lethal,Mass,9,-0.269648602,-0.491344913,-0.048273615
Vincze et al.,Lethal,Mass,10,-0.25134075,-0.475408026,-0.039169841
Vincze et al.,Lethal,Mass,11,-0.261923261,-0.502820706,-0.028908154
Vincze et al.,Lethal,Mass,12,-0.231522368,-0.464781605,0.014339499
Vincze et al.,Lethal,Mass,13,-0.256296492,-0.486137227,-0.046250459
Vincze et al.,Lethal,Mass,14,-0.238825299,-0.467537463,-0.002074611
Vincze et al.,Lethal,Mass,15,-0.229802704,-0.462784691,0.003599428
Vincze et al.,Lethal,Mass,16,-0.235036969,-0.473481837,-0.020575291
Vincze et al.,Lethal,Mass,17,-0.227654544,-0.489474867,0.015802707
Vincze et al.,Lethal,Mass,18,-0.234291972,-0.461599347,-0.0204363
Vincze et al.,Lethal,Mass,19,-0.279929183,-0.51408613,-0.04675681
Vincze et al.,Lethal,Mass,20,-0.233077438,-0.460561176,-0.01475614
Vincze et al.,Lethal,Mass,21,-0.213000366,-0.439253477,0.004611966
Vincze et al.,Lethal,Mass,22,-0.267370808,-0.513162644,-0.035345709
Vincze et al.,Lethal,Mass,23,-0.210120831,-0.44754717,0.016509635
Vincze et al.,Lethal,Mass,24,-0.217349083,-0.462365472,0.015290468
Vincze et al.,Lethal,Mass,25,-0.218831273,-0.432533401,-0.010222916
Vincze et al.,Lethal,Mass,26,-0.215642032,-0.453119023,0.015005847
Vincze et al.,Lethal,Mass,27,-0.229175722,-0.456765458,0.001593973
Vincze et al.,Lethal,Mass,28,-0.271280145,-0.497870732,-0.055326281
Vincze et al.,Lethal,Mass,29,-0.237655247,-0.466601582,-0.004602663
Vincze et al.,Lethal,Mass,30,-0.252161433,-0.518202771,0.011138854
Vincze et al.,Lethal,Mass,31,-0.209362634,-0.433718676,0.019538051
Vincze et al.,Lethal,Mass,32,-0.255512647,-0.497088228,-0.021698939
Vincze et al.,Lethal,Mass,33,-0.242587789,-0.461887371,-0.023510416
Vincze et al.,Lethal,Mass,34,-0.248235526,-0.484145152,-0.017904263
Vincze et al.,Lethal,Mass,35,-0.250094672,-0.470439507,-0.021153822
Vincze et al.,Lethal,Mass,36,-0.203556118,-0.428870365,0.035776369
Vincze et al.,Lethal,Mass,37,-0.249344438,-0.498503604,0.002900311
Vincze et al.,Lethal,Mass,38,-0.215764697,-0.457563322,0.012491713
Vincze et al.,Lethal,Mass,39,-0.248553492,-0.479091702,-0.025837087
Vincze et al.,Lethal,Mass,40,-0.241213286,-0.458927236,-0.024221847
Vincze et al.,Lethal,Mass,41,-0.247830314,-0.46997885,-0.029128508
Vincze et al.,Lethal,Mass,42,-0.245096236,-0.484107923,-0.016108511
Vincze et al.,Lethal,Mass,43,-0.268173688,-0.498473299,-0.044065421
Vincze et al.,Lethal,Mass,44,-0.222252777,-0.45412055,0.012331318
Vincze et al.,Lethal,Mass,45,-0.227585514,-0.443038162,-0.017138816
Vincze et al.,Lethal,Mass,46,-0.224557987,-0.453060256,0.006823712
Vincze et al.,Lethal,Mass,47,-0.23227632,-0.448028747,-0.021218092
Vincze et al.,Lethal,Mass,48,-0.255413219,-0.486273755,-0.006846646
Vincze et al.,Lethal,Mass,49,-0.200094693,-0.439575661,0.036356253
Vincze et al.,Lethal,Mass,50,-0.232969383,-0.463401411,-0.004082881
