"Data","TumorType","RiskFactor","Simulation","Estimate","U95CI","L95CI","pvalue"
"Vincze et al.","Malignant","logMaxLongevity",1,0.119350771723142,1.23996020501256,-1.00125866156628,0.834980293869075
"Vincze et al.","Malignant","logMaxLongevity",2,-0.200187636917144,0.968756444097844,-1.36913171793213,0.737685530901993
"Vincze et al.","Malignant","logMaxLongevity",3,-0.0825786305046402,1.04140280346366,-1.20656006447294,0.885729976283268
"Vincze et al.","Malignant","logMaxLongevity",4,-0.305837333897471,0.842358986754297,-1.45403365454924,0.602536795632448
"Vincze et al.","Malignant","logMaxLongevity",5,0.0136899367379588,1.15086739277487,-1.12348751929895,0.981212584975906
"Vincze et al.","Malignant","logMaxLongevity",6,-0.102755017683189,1.01729595779732,-1.2228059931637,0.857588159285162
"Vincze et al.","Malignant","logMaxLongevity",7,-0.137738457506187,0.984017811475812,-1.25949472648819,0.810205984358214
"Vincze et al.","Malignant","logMaxLongevity",8,-0.150429662855698,1.01652865320218,-1.31738797891357,0.800943704961154
"Vincze et al.","Malignant","logMaxLongevity",9,-0.102730031062466,1.055377987703,-1.26083804982793,0.862253017939443
"Vincze et al.","Malignant","logMaxLongevity",10,-0.020542064092069,1.04287943719992,-1.08396356538406,0.969858246206799
"Vincze et al.","Malignant","logMaxLongevity",11,-0.0408797777055003,1.05170057678554,-1.13346013219654,0.941655843163547
"Vincze et al.","Malignant","logMaxLongevity",12,-0.0733041567772227,1.05231584162975,-1.1989241551842,0.898635950910232
"Vincze et al.","Malignant","logMaxLongevity",13,-0.145483117801433,0.963296620254777,-1.25426285585764,0.797465627358434
"Vincze et al.","Malignant","logMaxLongevity",14,-0.142180066404805,0.943623175695176,-1.22798330850479,0.797866484437847
"Vincze et al.","Malignant","logMaxLongevity",15,-0.101314264750139,1.02660523716999,-1.22923376667027,0.8605333138488
"Vincze et al.","Malignant","logMaxLongevity",16,-0.0527568548053654,1.07836044758402,-1.18387415719476,0.927306371867678
"Vincze et al.","Malignant","logMaxLongevity",17,-0.0621968360640137,1.06454123356887,-1.1889349056969,0.914014257793151
"Vincze et al.","Malignant","logMaxLongevity",18,-0.132233499813924,0.994555998928717,-1.25902299855657,0.818453688060135
"Vincze et al.","Malignant","logMaxLongevity",19,-0.151492135282678,1.00598667792904,-1.30897094849439,0.797962306354433
"Vincze et al.","Malignant","logMaxLongevity",20,-0.111648194783373,1.00211205351735,-1.2254084430841,0.844551846962259
"Vincze et al.","Malignant","logMaxLongevity",21,0.0479639841770471,1.13021324269489,-1.0342852743408,0.930916840235075
"Vincze et al.","Malignant","logMaxLongevity",22,-0.168791352597685,0.942714298744846,-1.28029700394022,0.766466410697909
"Vincze et al.","Malignant","logMaxLongevity",23,0.0587342469632949,1.22107357713972,-1.10360508321313,0.921263199112692
"Vincze et al.","Malignant","logMaxLongevity",24,-0.131757819835318,0.997257579441755,-1.26077321911239,0.819445728605907
"Vincze et al.","Malignant","logMaxLongevity",25,-0.0465089613983949,1.04617031013642,-1.13918823293321,0.93364542680323
"Vincze et al.","Malignant","logMaxLongevity",26,-0.133472952135594,0.991855150030556,-1.25880105430174,0.816548812621636
"Vincze et al.","Malignant","logMaxLongevity",27,-0.0760943431852447,1.04778541286538,-1.19997409923587,0.894638069219029
"Vincze et al.","Malignant","logMaxLongevity",28,-0.197963519768291,0.879593460619586,-1.27552050015617,0.719388938463734
"Vincze et al.","Malignant","logMaxLongevity",29,-0.172733624208789,0.93755902315861,-1.28302627157619,0.760925065369435
"Vincze et al.","Malignant","logMaxLongevity",30,-0.227038925297679,0.886788256860216,-1.34086610745557,0.690186457423787
"Vincze et al.","Malignant","logMaxLongevity",31,-0.0843553957505481,1.09995302265927,-1.26866381416037,0.889194196755777
"Vincze et al.","Malignant","logMaxLongevity",32,-0.105576687664339,0.997918216689315,-1.20907159201799,0.851552494185044
"Vincze et al.","Malignant","logMaxLongevity",33,-0.0902785570721199,0.982881151756433,-1.16343826590067,0.869300175203713
"Vincze et al.","Malignant","logMaxLongevity",34,0.00285837891423703,1.12049472269539,-1.11477796486692,0.99600835512115
"Vincze et al.","Malignant","logMaxLongevity",35,-0.196295664013857,0.965981729898453,-1.35857305792617,0.741177658239127
"Vincze et al.","Malignant","logMaxLongevity",36,-0.137465793908667,0.992898468444462,-1.2678300562618,0.811989561197717
"Vincze et al.","Malignant","logMaxLongevity",37,-0.130110919869555,1.01312626885277,-1.27334810859188,0.823845325266879
