"Data","TumorType","RiskFactor","Simulation","Estimate","U95CI","L95CI","pvalue"
"Vincze et al.","Malignant","Mass",1,-0.121611234729429,0.115238528573864,-0.358460998032722,0.316122556225119
"Vincze et al.","Malignant","Mass",2,-0.0743928231853949,0.163586990897806,-0.312372637268596,0.541154161721005
"Vincze et al.","Malignant","Mass",3,-0.100077652477779,0.138306948237132,-0.338462253192691,0.412117896865884
"Vincze et al.","Malignant","Mass",4,-0.0759881029191127,0.157102656076291,-0.309078861914516,0.52397904919413
"Vincze et al.","Malignant","Mass",5,-0.115889105712923,0.121932433469292,-0.353710644895137,0.341315002506396
"Vincze et al.","Malignant","Mass",6,-0.104807859785131,0.128693270185392,-0.338308989755655,0.38062886277013
"Vincze et al.","Malignant","Mass",7,-0.0906896504373668,0.139943130978246,-0.32132243185298,0.442286257442419
"Vincze et al.","Malignant","Mass",8,-0.0532120576159562,0.183776254777,-0.290200370008912,0.660610096814335
"Vincze et al.","Malignant","Mass",9,-0.0945227463161582,0.13567901552351,-0.324724508155827,0.422420384697122
"Vincze et al.","Malignant","Mass",10,-0.0607346512706374,0.174449348159342,-0.295918650700617,0.613610688914352
"Vincze et al.","Malignant","Mass",11,-0.0731082073286881,0.161778741162042,-0.307995155819418,0.542903802708981
"Vincze et al.","Malignant","Mass",12,-0.161547730149015,0.0712766461542014,-0.394372106452231,0.176212300388945
"Vincze et al.","Malignant","Mass",13,-0.107407954632055,0.126613231852555,-0.341429141116664,0.370022679648687
"Vincze et al.","Malignant","Mass",14,-0.111111060094979,0.123562860432613,-0.345784980622571,0.355140056606652
"Vincze et al.","Malignant","Mass",15,-0.0476261361041382,0.183355546930437,-0.278607819138714,0.686784430900537
"Vincze et al.","Malignant","Mass",16,-0.118445415799952,0.114416419738528,-0.351307251338432,0.320652247388992
"Vincze et al.","Malignant","Mass",17,-0.104826942667775,0.126857523605144,-0.336511408940694,0.376829871597103
"Vincze et al.","Malignant","Mass",18,-0.0928324736414987,0.138251304315481,-0.323916251598478,0.432501463114258
"Vincze et al.","Malignant","Mass",19,-0.106240170463133,0.132916285851995,-0.345396626778261,0.385541751590108
"Vincze et al.","Malignant","Mass",20,-0.0848109278412417,0.145226042017252,-0.314847897699735,0.471221138469434
"Vincze et al.","Malignant","Mass",21,-0.0803985806916262,0.157043426390915,-0.317840587774167,0.508091055332578
"Vincze et al.","Malignant","Mass",22,-0.0667457193285422,0.166003890592213,-0.299495329249297,0.575043554286014
"Vincze et al.","Malignant","Mass",23,-0.148474755106221,0.084433436488395,-0.381382946700837,0.213757506258251
"Vincze et al.","Malignant","Mass",24,-0.113580827689756,0.122381666906632,-0.349543322286144,0.347215233640352
"Vincze et al.","Malignant","Mass",25,-0.0992447739908503,0.133358098958795,-0.331847646940496,0.404547128630928
"Vincze et al.","Malignant","Mass",26,-0.0899634243450416,0.14584279374365,-0.325769642433733,0.455961175502626
"Vincze et al.","Malignant","Mass",27,-0.0426628860383325,0.199255301431394,-0.284581073508059,0.730168065120577
"Vincze et al.","Malignant","Mass",28,-0.0740533064026084,0.162193144733133,-0.310299757538349,0.540048032772909
"Vincze et al.","Malignant","Mass",29,-0.0404337069676199,0.189924993229547,-0.270792407164786,0.731384644364896
"Vincze et al.","Malignant","Mass",30,-0.124259505558388,0.108151832932596,-0.356670844049373,0.296634604601762
"Vincze et al.","Malignant","Mass",31,-0.0932593139325868,0.137732478501328,-0.324251106366502,0.430210265793422
"Vincze et al.","Malignant","Mass",32,-0.10768453270436,0.128338587223443,-0.343707652632162,0.372858043270513
"Vincze et al.","Malignant","Mass",33,-0.152782006725945,0.0860558562094535,-0.391619869661344,0.212185433569276
"Vincze et al.","Malignant","Mass",34,-0.108763707863487,0.126304912740422,-0.343832328467396,0.366166003447251
"Vincze et al.","Malignant","Mass",35,-0.125270843916771,0.108584549060289,-0.359126236893831,0.295715108870634
"Vincze et al.","Malignant","Mass",36,-0.100954580187931,0.124579534660109,-0.326488695035971,0.381930892538071
"Vincze et al.","Malignant","Mass",37,-0.106007466878188,0.124839179666222,-0.336854113422597,0.369768223962667
"Vincze et al.","Malignant","Mass",38,-0.0737482698092271,0.164033692356546,-0.311530231975,0.54432544467326
"Vincze et al.","Malignant","Mass",39,-0.0682428291166228,0.171875098876963,-0.308360757110209,0.578463433086338
"Vincze et al.","Malignant","Mass",40,-0.0643833930320702,0.172840620084651,-0.301607406148791,0.595675166068354
"Vincze et al.","Malignant","Mass",41,-0.124182622471964,0.108581324823869,-0.356946569767797,0.297661602032354
"Vincze et al.","Malignant","Mass",42,-0.0290478751574448,0.206146209530946,-0.264241959845836,0.809109007707977
"Vincze et al.","Malignant","Mass",43,-0.0953459301112134,0.132797049987884,-0.323488910210311,0.414224816297894
"Vincze et al.","Malignant","Mass",44,-0.0744954188577674,0.156562475161424,-0.305553312876958,0.528554878377187
"Vincze et al.","Malignant","Mass",45,-0.0793062574128276,0.154161001495872,-0.312773516321527,0.50673385217926
"Vincze et al.","Malignant","Mass",46,-0.0524922091054688,0.182439990431171,-0.287424408642109,0.662166746790601
"Vincze et al.","Malignant","Mass",47,-0.121087178268523,0.112090905406519,-0.354265261943564,0.310673592227139
"Vincze et al.","Malignant","Mass",48,-0.105385735741369,0.126771805667925,-0.337543277150663,0.375270545524978
"Vincze et al.","Malignant","Mass",49,-0.0686714447946629,0.161472602474399,-0.298815492063725,0.559680950535332
"Vincze et al.","Malignant","Mass",50,-0.139437492955329,0.0943357510296351,-0.373210736940293,0.244530807897923
